Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-28 09:15:00+05:30,204.05,204.5,204.0,204.35,0,0,0
2019-11-28 09:16:00+05:30,204.35,204.5,204.25,204.35,5038,0,0
2019-11-28 09:17:00+05:30,204.35,204.7,204.35,204.65,8160,0,0
2019-11-28 09:18:00+05:30,204.75,204.75,204.2,204.5,17525,0,0
2019-11-28 09:19:00+05:30,204.55,205.0,204.45,205.0,9326,0,0
2019-11-28 09:20:00+05:30,205.0,205.3,205.0,205.1,29303,0,0
2019-11-28 09:21:00+05:30,204.85,204.85,204.6,204.65,11416,0,0
2019-11-28 09:22:00+05:30,204.75,205.0,204.65,204.9,8498,0,0
2019-11-28 09:23:00+05:30,205.0,205.45,205.0,205.35,11099,0,0
2019-11-28 09:24:00+05:30,205.25,205.3,205.1,205.1,3464,0,0
2019-11-28 09:25:00+05:30,205.15,205.3,204.8,204.8,17683,0,0
2019-11-28 09:26:00+05:30,204.75,204.75,204.5,204.5,5609,0,0
2019-11-28 09:27:00+05:30,204.6,204.6,204.4,204.5,3879,0,0
2019-11-28 09:28:00+05:30,204.45,204.45,204.0,204.1,7443,0,0
2019-11-28 09:29:00+05:30,204.1,204.55,204.1,204.4,4680,0,0
2019-11-28 09:30:00+05:30,204.45,204.45,204.4,204.4,3743,0,0
2019-11-28 09:31:00+05:30,204.4,204.55,204.3,204.35,4079,0,0
2019-11-28 09:32:00+05:30,204.35,204.45,204.25,204.4,6244,0,0
2019-11-28 09:33:00+05:30,204.4,204.45,204.05,204.2,3787,0,0
2019-11-28 09:34:00+05:30,204.25,204.25,204.05,204.2,2171,0,0
2019-11-28 09:35:00+05:30,204.25,204.25,204.0,204.0,15401,0,0
2019-11-28 09:36:00+05:30,204.0,204.0,203.9,203.9,1175,0,0
2019-11-28 09:37:00+05:30,203.85,204.0,203.8,203.9,3401,0,0
2019-11-28 09:38:00+05:30,204.0,204.0,203.8,203.8,2881,0,0
2019-11-28 09:39:00+05:30,203.85,203.85,203.6,203.7,7918,0,0
2019-11-28 09:40:00+05:30,203.45,203.65,203.3,203.65,11922,0,0
2019-11-28 09:41:00+05:30,203.5,203.65,203.35,203.4,5683,0,0
2019-11-28 09:42:00+05:30,203.4,203.7,203.4,203.65,5550,0,0
2019-11-28 09:43:00+05:30,203.7,204.15,203.7,204.15,3009,0,0
2019-11-28 09:44:00+05:30,204.25,204.6,204.2,204.6,10525,0,0
2019-11-28 09:45:00+05:30,204.5,204.85,204.5,204.8,7892,0,0
2019-11-28 09:46:00+05:30,204.85,205.1,204.85,205.1,22082,0,0
2019-11-28 09:47:00+05:30,205.1,205.25,205.1,205.25,8960,0,0
2019-11-28 09:48:00+05:30,205.25,205.7,205.2,205.7,37799,0,0
2019-11-28 09:49:00+05:30,205.7,205.7,205.45,205.45,12478,0,0
2019-11-28 09:50:00+05:30,205.5,205.65,205.25,205.55,17354,0,0
2019-11-28 09:51:00+05:30,205.7,206.1,205.65,206.1,60947,0,0
2019-11-28 09:52:00+05:30,205.95,206.05,205.75,206.0,31085,0,0
2019-11-28 09:53:00+05:30,206.0,206.15,205.75,205.85,29425,0,0
2019-11-28 09:54:00+05:30,205.7,205.8,205.65,205.65,4617,0,0
2019-11-28 09:55:00+05:30,205.65,205.9,205.65,205.85,6793,0,0
2019-11-28 09:56:00+05:30,205.8,205.9,205.7,205.8,3524,0,0
2019-11-28 09:57:00+05:30,205.85,205.9,205.6,205.7,12979,0,0
2019-11-28 09:58:00+05:30,205.7,205.85,205.65,205.7,5815,0,0
2019-11-28 09:59:00+05:30,205.75,205.75,205.6,205.7,3119,0,0
2019-11-28 10:00:00+05:30,205.6,205.65,205.5,205.55,5150,0,0
2019-11-28 10:01:00+05:30,205.55,205.55,205.4,205.55,9975,0,0
2019-11-28 10:02:00+05:30,205.55,205.55,205.35,205.35,4492,0,0
2019-11-28 10:03:00+05:30,205.25,205.45,205.25,205.4,4829,0,0
2019-11-28 10:04:00+05:30,205.45,205.5,205.3,205.5,4025,0,0
2019-11-28 10:05:00+05:30,205.45,205.55,205.45,205.5,2110,0,0
2019-11-28 10:06:00+05:30,205.5,205.5,205.45,205.5,2650,0,0
2019-11-28 10:07:00+05:30,205.45,205.55,205.4,205.4,2818,0,0
2019-11-28 10:08:00+05:30,205.4,205.5,205.3,205.5,2599,0,0
2019-11-28 10:09:00+05:30,205.45,205.5,205.3,205.35,1153,0,0
2019-11-28 10:10:00+05:30,205.35,205.4,205.25,205.25,2483,0,0
2019-11-28 10:11:00+05:30,205.3,205.3,205.1,205.1,8529,0,0
2019-11-28 10:12:00+05:30,205.2,205.2,205.1,205.2,8,0,0
2019-11-28 10:13:00+05:30,205.1,205.3,205.1,205.25,2670,0,0
2019-11-28 10:14:00+05:30,205.3,205.5,205.15,205.5,5780,0,0
2019-11-28 10:15:00+05:30,205.4,205.5,205.3,205.3,399,0,0
2019-11-28 10:16:00+05:30,205.15,205.5,205.15,205.5,8631,0,0
2019-11-28 10:17:00+05:30,205.35,205.5,205.35,205.35,1621,0,0
2019-11-28 10:18:00+05:30,205.3,205.3,205.2,205.2,612,0,0
2019-11-28 10:19:00+05:30,205.2,205.35,205.2,205.35,2731,0,0
2019-11-28 10:20:00+05:30,205.35,205.4,205.05,205.1,19545,0,0
2019-11-28 10:21:00+05:30,205.05,205.05,204.8,204.85,16243,0,0
2019-11-28 10:22:00+05:30,204.9,204.9,204.6,204.75,3964,0,0
2019-11-28 10:23:00+05:30,204.75,204.75,204.55,204.6,2862,0,0
2019-11-28 10:24:00+05:30,204.55,204.75,204.55,204.75,1982,0,0
2019-11-28 10:25:00+05:30,204.75,204.75,204.6,204.65,572,0,0
2019-11-28 10:26:00+05:30,204.7,204.7,204.45,204.45,8405,0,0
2019-11-28 10:27:00+05:30,204.4,204.4,204.2,204.25,5120,0,0
2019-11-28 10:28:00+05:30,204.25,204.25,204.15,204.15,2863,0,0
2019-11-28 10:29:00+05:30,204.2,204.3,204.15,204.3,3981,0,0
2019-11-28 10:30:00+05:30,204.3,204.4,204.2,204.35,5660,0,0
