Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-28 09:15:00+05:30,470.1,471.8,470.1,470.6,0,0,0
2019-11-28 09:16:00+05:30,470.65,470.95,469.6,469.7,18399,0,0
2019-11-28 09:17:00+05:30,470.0,470.0,468.1,468.6,10842,0,0
2019-11-28 09:18:00+05:30,468.6,468.75,468.0,468.35,10714,0,0
2019-11-28 09:19:00+05:30,468.85,469.5,468.85,469.2,9785,0,0
2019-11-28 09:20:00+05:30,469.2,469.95,469.2,469.5,4848,0,0
2019-11-28 09:21:00+05:30,469.25,469.5,468.65,469.0,7863,0,0
2019-11-28 09:22:00+05:30,469.45,469.45,469.0,469.15,2575,0,0
2019-11-28 09:23:00+05:30,469.15,469.35,468.65,468.65,3914,0,0
2019-11-28 09:24:00+05:30,468.6,469.1,468.2,468.2,3627,0,0
2019-11-28 09:25:00+05:30,468.25,468.5,466.45,466.95,8974,0,0
2019-11-28 09:26:00+05:30,466.95,467.55,466.5,467.5,5262,0,0
2019-11-28 09:27:00+05:30,468.0,468.0,467.5,467.6,1615,0,0
2019-11-28 09:28:00+05:30,467.95,467.95,467.5,467.55,2763,0,0
2019-11-28 09:29:00+05:30,467.5,468.5,467.5,468.5,2710,0,0
2019-11-28 09:30:00+05:30,468.5,468.9,468.2,468.6,3149,0,0
2019-11-28 09:31:00+05:30,468.7,468.7,468.05,468.4,1345,0,0
2019-11-28 09:32:00+05:30,468.25,468.4,467.4,467.4,7557,0,0
2019-11-28 09:33:00+05:30,467.7,468.0,467.15,468.0,2047,0,0
2019-11-28 09:34:00+05:30,467.65,469.15,467.65,469.15,7328,0,0
2019-11-28 09:35:00+05:30,469.25,469.4,469.0,469.15,2328,0,0
2019-11-28 09:36:00+05:30,469.05,469.3,468.55,468.95,6252,0,0
2019-11-28 09:37:00+05:30,468.7,469.2,468.6,469.2,2664,0,0
2019-11-28 09:38:00+05:30,469.05,469.5,469.05,469.5,3907,0,0
2019-11-28 09:39:00+05:30,469.25,469.5,469.2,469.25,325,0,0
2019-11-28 09:40:00+05:30,469.4,470.0,468.75,469.7,10270,0,0
2019-11-28 09:41:00+05:30,469.6,470.0,469.5,469.7,3710,0,0
2019-11-28 09:42:00+05:30,469.7,469.95,469.6,469.75,897,0,0
2019-11-28 09:43:00+05:30,469.85,469.85,469.5,469.7,3148,0,0
2019-11-28 09:44:00+05:30,469.7,470.6,469.7,470.4,8440,0,0
2019-11-28 09:45:00+05:30,470.5,470.5,470.1,470.4,2589,0,0
2019-11-28 09:46:00+05:30,470.0,470.5,470.0,470.05,5733,0,0
2019-11-28 09:47:00+05:30,470.35,470.4,470.0,470.05,1779,0,0
