Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-29 09:15:00+05:30,231.95,232.55,231.8,231.9,0,0,0
2019-11-29 09:16:00+05:30,231.95,232.25,231.55,231.65,184200,0,0
2019-11-29 09:17:00+05:30,231.7,232.15,231.65,232.1,53969,0,0
2019-11-29 09:18:00+05:30,232.2,233.0,232.1,232.85,98947,0,0
2019-11-29 09:19:00+05:30,232.85,233.85,232.85,233.7,192837,0,0
2019-11-29 09:20:00+05:30,233.85,233.85,233.3,233.5,72762,0,0
2019-11-29 09:21:00+05:30,233.4,233.4,232.7,232.75,38321,0,0
2019-11-29 09:22:00+05:30,232.95,233.3,232.75,233.2,25145,0,0
2019-11-29 09:23:00+05:30,233.25,233.45,233.1,233.45,60900,0,0
2019-11-29 09:24:00+05:30,233.3,233.4,233.0,233.25,27052,0,0
2019-11-29 09:25:00+05:30,233.25,233.3,232.8,232.8,33052,0,0
2019-11-29 09:26:00+05:30,232.8,233.05,232.5,232.9,37469,0,0
2019-11-29 09:27:00+05:30,232.85,232.9,232.5,232.75,18780,0,0
2019-11-29 09:28:00+05:30,232.75,233.25,232.75,233.2,35485,0,0
2019-11-29 09:29:00+05:30,233.2,233.2,232.95,233.05,16584,0,0
2019-11-29 09:30:00+05:30,233.0,233.05,232.6,232.65,25804,0,0
2019-11-29 09:31:00+05:30,232.4,232.65,232.25,232.3,32788,0,0
2019-11-29 09:32:00+05:30,232.3,232.75,232.2,232.75,30393,0,0
2019-11-29 09:33:00+05:30,232.7,233.15,232.7,233.0,18766,0,0
2019-11-29 09:34:00+05:30,233.05,233.25,232.8,232.8,58331,0,0
2019-11-29 09:35:00+05:30,232.8,232.9,232.6,232.6,14327,0,0
2019-11-29 09:36:00+05:30,232.65,232.9,232.55,232.7,7520,0,0
2019-11-29 09:37:00+05:30,232.7,232.85,232.55,232.7,7466,0,0
2019-11-29 09:38:00+05:30,232.65,233.2,232.65,232.8,11512,0,0
2019-11-29 09:39:00+05:30,232.75,232.75,232.2,232.2,61917,0,0
2019-11-29 09:40:00+05:30,232.2,232.6,232.0,232.5,130054,0,0
2019-11-29 09:41:00+05:30,232.5,232.7,232.45,232.7,6303,0,0
2019-11-29 09:42:00+05:30,232.75,232.8,232.55,232.65,6428,0,0
2019-11-29 09:43:00+05:30,232.65,232.9,232.3,232.3,19875,0,0
2019-11-29 09:44:00+05:30,232.4,232.65,232.25,232.5,12401,0,0
2019-11-29 09:45:00+05:30,232.5,232.5,232.3,232.3,7905,0,0
2019-11-29 09:46:00+05:30,232.3,232.45,232.0,232.1,11674,0,0
2019-11-29 09:47:00+05:30,232.2,232.4,231.95,232.25,42476,0,0
2019-11-29 09:48:00+05:30,232.3,232.3,232.1,232.1,9592,0,0
2019-11-29 09:49:00+05:30,232.15,232.15,231.9,232.1,20616,0,0
2019-11-29 09:50:00+05:30,232.0,232.5,232.0,232.4,21546,0,0
2019-11-29 09:51:00+05:30,232.5,232.5,232.35,232.5,10487,0,0
2019-11-29 09:52:00+05:30,232.5,232.95,232.5,232.85,34443,0,0
2019-11-29 09:53:00+05:30,232.7,232.95,232.7,232.8,24075,0,0
2019-11-29 09:54:00+05:30,232.8,233.3,232.8,233.25,172569,0,0
2019-11-29 09:55:00+05:30,233.3,233.3,233.0,233.0,45783,0,0
2019-11-29 09:56:00+05:30,232.9,233.0,232.65,232.85,30788,0,0
2019-11-29 09:57:00+05:30,232.8,233.05,232.75,233.0,17159,0,0
2019-11-29 09:58:00+05:30,232.85,232.9,232.5,232.75,9799,0,0
2019-11-29 09:59:00+05:30,232.75,232.9,232.55,232.6,7166,0,0
2019-11-29 10:00:00+05:30,232.5,232.5,232.15,232.2,17997,0,0
2019-11-29 10:01:00+05:30,232.2,232.7,232.15,232.7,6425,0,0
2019-11-29 10:02:00+05:30,232.55,232.65,232.35,232.45,14072,0,0
2019-11-29 10:03:00+05:30,232.6,232.6,232.3,232.4,7435,0,0
2019-11-29 10:04:00+05:30,232.25,232.5,232.25,232.45,3836,0,0
2019-11-29 10:05:00+05:30,232.45,232.5,232.3,232.45,6475,0,0
2019-11-29 10:06:00+05:30,232.55,232.95,232.4,232.55,18328,0,0
2019-11-29 10:07:00+05:30,232.55,232.9,232.5,232.85,7064,0,0
2019-11-29 10:08:00+05:30,232.75,232.9,232.7,232.8,5540,0,0
2019-11-29 10:09:00+05:30,232.8,233.0,232.75,232.9,8717,0,0
2019-11-29 10:10:00+05:30,232.8,233.45,232.7,233.45,54508,0,0
2019-11-29 10:11:00+05:30,233.3,234.1,233.3,233.75,110278,0,0
2019-11-29 10:12:00+05:30,233.75,234.1,233.4,234.1,38843,0,0
2019-11-29 10:13:00+05:30,234.1,234.2,233.75,234.05,48295,0,0
2019-11-29 10:14:00+05:30,234.0,234.0,233.55,233.85,53505,0,0
2019-11-29 10:15:00+05:30,233.9,233.9,233.6,233.7,20354,0,0
2019-11-29 10:16:00+05:30,233.65,233.9,233.65,233.8,14075,0,0
2019-11-29 10:17:00+05:30,233.75,234.05,233.7,234.05,19901,0,0
2019-11-29 10:18:00+05:30,234.05,234.2,233.75,233.75,22486,0,0
2019-11-29 10:19:00+05:30,233.8,233.85,233.6,233.7,11199,0,0
2019-11-29 10:20:00+05:30,233.7,233.75,233.5,233.65,14830,0,0
2019-11-29 10:21:00+05:30,233.65,233.7,233.55,233.65,4648,0,0
2019-11-29 10:22:00+05:30,233.6,233.6,233.4,233.45,20140,0,0
2019-11-29 10:23:00+05:30,233.55,233.65,233.4,233.5,11347,0,0
2019-11-29 10:24:00+05:30,233.45,233.5,232.85,232.95,37052,0,0
2019-11-29 10:25:00+05:30,233.05,233.1,232.9,232.95,15724,0,0
2019-11-29 10:26:00+05:30,233.05,233.15,232.95,233.1,14914,0,0
2019-11-29 10:27:00+05:30,233.25,233.25,232.95,233.0,16884,0,0
2019-11-29 10:28:00+05:30,232.95,233.4,232.9,233.4,9204,0,0
2019-11-29 10:29:00+05:30,233.4,233.4,233.0,233.0,5111,0,0
2019-11-29 10:30:00+05:30,233.0,233.1,232.6,232.85,26094,0,0
2019-11-29 10:31:00+05:30,232.85,233.0,232.85,233.0,6358,0,0
2019-11-29 10:32:00+05:30,233.05,233.2,233.05,233.05,9379,0,0
2019-11-29 10:33:00+05:30,233.05,233.1,232.75,232.75,4046,0,0
2019-11-29 10:34:00+05:30,232.75,233.0,232.7,233.0,4488,0,0
