Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-29 09:15:00+05:30,206.3,207.0,206.3,207.0,0,0,0
2019-11-29 09:16:00+05:30,206.95,207.45,206.95,207.0,72596,0,0
2019-11-29 09:17:00+05:30,206.9,206.9,206.65,206.7,34503,0,0
2019-11-29 09:18:00+05:30,206.75,206.9,206.5,206.55,20241,0,0
2019-11-29 09:19:00+05:30,206.45,206.7,206.4,206.5,24558,0,0
2019-11-29 09:20:00+05:30,206.5,206.85,206.5,206.75,19103,0,0
2019-11-29 09:21:00+05:30,206.75,207.1,206.75,207.0,11639,0,0
2019-11-29 09:22:00+05:30,207.1,207.65,207.1,207.65,22207,0,0
2019-11-29 09:23:00+05:30,207.6,207.9,207.6,207.9,38511,0,0
2019-11-29 09:24:00+05:30,207.9,208.15,207.8,208.1,43951,0,0
2019-11-29 09:25:00+05:30,208.1,208.1,207.65,207.9,39190,0,0
2019-11-29 09:26:00+05:30,208.0,208.4,207.95,208.3,70207,0,0
2019-11-29 09:27:00+05:30,208.3,208.8,208.3,208.7,47010,0,0
2019-11-29 09:28:00+05:30,208.55,208.65,208.4,208.4,27061,0,0
2019-11-29 09:29:00+05:30,208.5,208.55,208.0,208.1,45373,0,0
2019-11-29 09:30:00+05:30,208.15,208.15,207.65,207.65,54199,0,0
2019-11-29 09:31:00+05:30,207.6,207.7,206.75,206.85,58984,0,0
2019-11-29 09:32:00+05:30,207.05,207.65,207.05,207.45,39103,0,0
2019-11-29 09:33:00+05:30,207.5,207.5,207.2,207.25,12579,0,0
2019-11-29 09:34:00+05:30,207.3,207.5,207.1,207.25,10273,0,0
2019-11-29 09:35:00+05:30,207.2,207.25,207.0,207.1,9583,0,0
2019-11-29 09:36:00+05:30,207.1,207.25,207.0,207.1,12729,0,0
2019-11-29 09:37:00+05:30,207.1,207.3,207.1,207.2,5258,0,0
2019-11-29 09:38:00+05:30,207.2,207.35,207.15,207.2,6791,0,0
2019-11-29 09:39:00+05:30,207.15,207.35,207.15,207.25,5244,0,0
2019-11-29 09:40:00+05:30,207.15,207.25,207.15,207.15,18268,0,0
2019-11-29 09:41:00+05:30,207.15,207.3,207.1,207.3,7051,0,0
2019-11-29 09:42:00+05:30,207.3,207.8,207.3,207.7,9550,0,0
2019-11-29 09:43:00+05:30,207.8,207.8,207.45,207.7,11175,0,0
2019-11-29 09:44:00+05:30,207.6,207.6,207.4,207.45,4099,0,0
2019-11-29 09:45:00+05:30,207.5,207.6,207.2,207.45,17162,0,0
2019-11-29 09:46:00+05:30,207.4,207.6,207.25,207.5,5521,0,0
2019-11-29 09:47:00+05:30,207.5,207.6,207.4,207.55,13555,0,0
2019-11-29 09:48:00+05:30,207.55,207.75,207.55,207.75,5761,0,0
2019-11-29 09:49:00+05:30,207.7,207.8,207.6,207.7,10594,0,0
2019-11-29 09:50:00+05:30,207.7,207.95,207.6,207.95,7972,0,0
2019-11-29 09:51:00+05:30,207.85,208.15,207.85,208.15,28179,0,0
2019-11-29 09:52:00+05:30,208.15,208.15,207.75,207.8,13816,0,0
2019-11-29 09:53:00+05:30,207.8,207.85,207.7,207.7,3279,0,0
2019-11-29 09:54:00+05:30,207.7,207.75,207.55,207.6,12417,0,0
2019-11-29 09:55:00+05:30,207.65,207.65,207.4,207.4,12600,0,0
2019-11-29 09:56:00+05:30,207.4,207.45,207.3,207.3,8028,0,0
2019-11-29 09:57:00+05:30,207.3,207.4,207.25,207.3,12490,0,0
2019-11-29 09:58:00+05:30,207.3,207.5,207.3,207.35,10122,0,0
2019-11-29 09:59:00+05:30,207.4,207.5,207.4,207.45,2942,0,0
2019-11-29 10:00:00+05:30,207.5,207.5,207.15,207.15,6216,0,0
2019-11-29 10:01:00+05:30,207.15,207.3,207.15,207.15,6328,0,0
2019-11-29 10:02:00+05:30,207.25,207.35,207.25,207.35,6281,0,0
2019-11-29 10:03:00+05:30,207.3,207.4,207.15,207.15,5946,0,0
2019-11-29 10:04:00+05:30,207.2,207.6,207.2,207.45,25204,0,0
2019-11-29 10:05:00+05:30,207.4,207.5,207.3,207.35,3178,0,0
2019-11-29 10:06:00+05:30,207.4,207.6,207.35,207.45,9320,0,0
2019-11-29 10:07:00+05:30,207.45,207.45,207.3,207.4,4909,0,0
2019-11-29 10:08:00+05:30,207.3,207.45,207.25,207.25,3771,0,0
