Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-28 09:15:00+05:30,552.5,553.2,551.9,552.05,0,0,0
2019-11-28 09:16:00+05:30,552.05,553.95,552.05,553.4,6966,0,0
2019-11-28 09:17:00+05:30,553.4,554.4,552.5,552.55,4569,0,0
2019-11-28 09:18:00+05:30,552.55,553.1,552.0,552.3,4510,0,0
2019-11-28 09:19:00+05:30,552.3,553.4,552.3,553.4,1773,0,0
2019-11-28 09:20:00+05:30,553.4,554.7,553.05,554.35,4640,0,0
2019-11-28 09:21:00+05:30,554.65,554.9,554.3,554.3,5536,0,0
2019-11-28 09:22:00+05:30,554.5,555.9,554.5,555.9,3979,0,0
2019-11-28 09:23:00+05:30,555.8,555.95,555.45,555.65,2346,0,0
2019-11-28 09:24:00+05:30,555.3,555.6,554.65,554.65,4220,0,0
2019-11-28 09:25:00+05:30,554.3,554.75,554.05,554.6,2199,0,0
2019-11-28 09:26:00+05:30,554.3,554.3,553.1,554.0,3390,0,0
2019-11-28 09:27:00+05:30,554.0,554.25,554.0,554.15,682,0,0
2019-11-28 09:28:00+05:30,554.1,554.1,553.95,553.95,2202,0,0
2019-11-28 09:29:00+05:30,553.5,554.5,553.5,554.05,2507,0,0
2019-11-28 09:30:00+05:30,554.25,555.1,554.25,555.1,2179,0,0
2019-11-28 09:31:00+05:30,555.25,555.25,554.9,554.9,60,0,0
2019-11-28 09:32:00+05:30,554.95,555.0,554.4,554.4,1117,0,0
2019-11-28 09:33:00+05:30,554.5,554.5,554.35,554.45,544,0,0
2019-11-28 09:34:00+05:30,554.45,555.65,554.45,555.3,2231,0,0
2019-11-28 09:35:00+05:30,555.55,555.9,555.4,555.9,1852,0,0
2019-11-28 09:36:00+05:30,556.0,557.05,556.0,557.05,9489,0,0
2019-11-28 09:37:00+05:30,556.8,556.8,556.0,556.1,2061,0,0
2019-11-28 09:38:00+05:30,556.4,556.8,556.15,556.8,1023,0,0
2019-11-28 09:39:00+05:30,556.4,556.45,555.25,555.35,4887,0,0
2019-11-28 09:40:00+05:30,555.35,555.9,555.35,555.9,7397,0,0
2019-11-28 09:41:00+05:30,556.0,556.5,556.0,556.4,0,0,0
2019-11-28 09:42:00+05:30,556.5,556.6,556.4,556.6,759,0,0
2019-11-28 09:43:00+05:30,556.6,556.85,556.3,556.3,1630,0,0
2019-11-28 09:44:00+05:30,556.4,556.9,555.8,556.65,4822,0,0
2019-11-28 09:45:00+05:30,556.65,556.9,556.6,556.6,2298,0,0
2019-11-28 09:46:00+05:30,556.6,556.75,556.6,556.6,664,0,0
2019-11-28 09:47:00+05:30,556.6,556.95,556.4,556.4,2765,0,0
2019-11-28 09:48:00+05:30,556.65,556.65,556.0,556.3,2106,0,0
2019-11-28 09:49:00+05:30,556.35,556.45,555.65,555.8,792,0,0
2019-11-28 09:50:00+05:30,555.8,556.0,555.4,555.4,535,0,0
2019-11-28 09:51:00+05:30,555.4,555.4,554.85,554.85,2565,0,0
2019-11-28 09:52:00+05:30,554.85,555.2,554.5,554.75,1264,0,0
2019-11-28 09:53:00+05:30,555.0,555.0,554.75,554.9,307,0,0
2019-11-28 09:54:00+05:30,555.0,555.3,554.95,555.15,429,0,0
2019-11-28 09:55:00+05:30,555.3,555.3,554.65,554.65,899,0,0
2019-11-28 09:56:00+05:30,554.6,554.7,554.6,554.65,533,0,0
2019-11-28 09:57:00+05:30,554.65,555.0,554.6,554.7,847,0,0
2019-11-28 09:58:00+05:30,554.7,554.8,554.65,554.8,373,0,0
2019-11-28 09:59:00+05:30,554.8,554.8,554.75,554.75,908,0,0
2019-11-28 10:00:00+05:30,554.6,554.75,554.5,554.5,2190,0,0
2019-11-28 10:01:00+05:30,554.5,554.55,554.5,554.55,324,0,0
2019-11-28 10:02:00+05:30,554.6,555.25,554.6,555.25,1866,0,0
2019-11-28 10:03:00+05:30,555.15,555.35,554.85,554.95,77,0,0
2019-11-28 10:04:00+05:30,554.95,555.75,554.75,555.75,4042,0,0
2019-11-28 10:05:00+05:30,555.5,555.5,555.05,555.05,1072,0,0
2019-11-28 10:06:00+05:30,555.2,555.2,554.4,555.0,2538,0,0
2019-11-28 10:07:00+05:30,554.85,554.85,554.2,554.3,976,0,0
2019-11-28 10:08:00+05:30,554.3,554.6,554.3,554.3,651,0,0
2019-11-28 10:09:00+05:30,554.4,554.85,554.3,554.7,1466,0,0
2019-11-28 10:10:00+05:30,554.65,554.7,554.0,554.35,6596,0,0
2019-11-28 10:11:00+05:30,553.8,554.25,553.75,553.8,2641,0,0
2019-11-28 10:12:00+05:30,553.75,555.2,553.55,555.2,8125,0,0
2019-11-28 10:13:00+05:30,555.2,555.2,555.0,555.15,720,0,0
2019-11-28 10:14:00+05:30,555.2,555.7,555.2,555.35,2434,0,0
2019-11-28 10:15:00+05:30,555.35,555.35,554.8,555.0,2367,0,0
2019-11-28 10:16:00+05:30,554.8,554.9,554.7,554.7,711,0,0
2019-11-28 10:17:00+05:30,554.9,555.1,554.85,555.1,944,0,0
2019-11-28 10:18:00+05:30,555.05,555.4,555.05,555.1,7,0,0
2019-11-28 10:19:00+05:30,555.4,555.4,554.35,554.35,732,0,0
2019-11-28 10:20:00+05:30,554.6,554.75,554.55,554.55,30,0,0
2019-11-28 10:21:00+05:30,554.6,554.6,554.1,554.1,258,0,0
2019-11-28 10:22:00+05:30,554.1,554.85,554.1,554.7,2023,0,0
2019-11-28 10:23:00+05:30,554.75,554.95,554.75,554.95,139,0,0
2019-11-28 10:24:00+05:30,555.7,555.7,554.75,554.8,10755,0,0
2019-11-28 10:25:00+05:30,554.85,555.0,553.95,554.5,8706,0,0
2019-11-28 10:26:00+05:30,554.5,554.75,554.45,554.55,82,0,0
2019-11-28 10:27:00+05:30,554.55,554.75,554.55,554.75,851,0,0
2019-11-28 10:28:00+05:30,554.75,554.8,554.45,554.45,1225,0,0
2019-11-28 10:29:00+05:30,554.45,554.45,553.7,553.7,4174,0,0
2019-11-28 10:30:00+05:30,553.7,553.75,552.0,552.0,26024,0,0
2019-11-28 10:31:00+05:30,552.1,552.55,551.85,551.85,9503,0,0
2019-11-28 10:32:00+05:30,551.7,552.0,551.15,551.95,5114,0,0
2019-11-28 10:33:00+05:30,551.9,552.0,550.8,551.0,18793,0,0
2019-11-28 10:34:00+05:30,550.7,551.15,550.7,551.05,6510,0,0
2019-11-28 10:35:00+05:30,551.1,551.5,550.9,551.0,15830,0,0
2019-11-28 10:36:00+05:30,550.65,551.0,550.65,551.0,1393,0,0
2019-11-28 10:37:00+05:30,551.0,551.0,550.8,550.85,6061,0,0
2019-11-28 10:38:00+05:30,550.85,551.0,550.65,550.7,5406,0,0
2019-11-28 10:39:00+05:30,550.7,550.85,550.15,550.15,8671,0,0
2019-11-28 10:40:00+05:30,550.15,550.5,550.05,550.15,41977,0,0
2019-11-28 10:41:00+05:30,550.05,550.15,549.85,549.9,87918,0,0
2019-11-28 10:42:00+05:30,549.85,550.55,549.85,550.55,7715,0,0
2019-11-28 10:43:00+05:30,550.55,551.0,550.3,551.0,3834,0,0
2019-11-28 10:44:00+05:30,551.1,551.6,551.05,551.6,7839,0,0
2019-11-28 10:45:00+05:30,551.6,551.85,551.6,551.75,3753,0,0
2019-11-28 10:46:00+05:30,551.85,552.5,551.65,552.0,2205,0,0
2019-11-28 10:47:00+05:30,552.1,552.45,551.75,552.4,2631,0,0
2019-11-28 10:48:00+05:30,552.45,552.45,551.85,552.3,1075,0,0
2019-11-28 10:49:00+05:30,552.3,553.0,552.3,552.95,3599,0,0
2019-11-28 10:50:00+05:30,553.0,553.5,552.95,553.45,4286,0,0
2019-11-28 10:51:00+05:30,553.45,553.6,553.2,553.6,2394,0,0
2019-11-28 10:52:00+05:30,553.8,553.8,553.25,553.25,1611,0,0
2019-11-28 10:53:00+05:30,553.25,553.55,553.25,553.35,2511,0,0
2019-11-28 10:54:00+05:30,553.35,553.4,553.1,553.1,6388,0,0
2019-11-28 10:55:00+05:30,553.1,553.35,553.0,553.25,4647,0,0
2019-11-28 10:56:00+05:30,553.25,553.3,552.4,552.4,2932,0,0
2019-11-28 10:57:00+05:30,552.4,553.2,552.3,552.9,1716,0,0
2019-11-28 10:58:00+05:30,552.9,553.0,552.55,552.9,1574,0,0
