Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-29 09:15:00+05:30,466.7,466.75,465.5,465.5,0,0,0
2019-11-29 09:16:00+05:30,466.1,466.1,465.55,465.6,2126,0,0
2019-11-29 09:17:00+05:30,465.6,465.6,465.15,465.3,1496,0,0
2019-11-29 09:18:00+05:30,465.05,465.3,462.75,462.9,14332,0,0
2019-11-29 09:19:00+05:30,462.95,463.1,462.05,463.1,18673,0,0
2019-11-29 09:20:00+05:30,463.05,463.75,463.05,463.3,5481,0,0
2019-11-29 09:21:00+05:30,463.2,464.2,463.2,463.85,5242,0,0
2019-11-29 09:22:00+05:30,464.15,464.8,464.0,464.7,6936,0,0
2019-11-29 09:23:00+05:30,464.65,464.75,464.4,464.6,3727,0,0
2019-11-29 09:24:00+05:30,464.6,464.8,464.6,464.7,1934,0,0
2019-11-29 09:25:00+05:30,464.9,465.4,464.2,465.3,4506,0,0
2019-11-29 09:26:00+05:30,464.95,465.6,464.65,465.6,3369,0,0
2019-11-29 09:27:00+05:30,465.15,465.5,465.1,465.1,524,0,0
2019-11-29 09:28:00+05:30,465.1,466.9,465.1,466.5,5649,0,0
2019-11-29 09:29:00+05:30,466.4,466.45,466.15,466.35,4288,0,0
2019-11-29 09:30:00+05:30,466.0,466.35,465.55,465.7,5226,0,0
2019-11-29 09:31:00+05:30,465.65,465.95,464.8,464.9,4361,0,0
2019-11-29 09:32:00+05:30,464.95,465.05,464.4,464.5,3158,0,0
2019-11-29 09:33:00+05:30,464.45,465.05,464.4,465.05,3800,0,0
2019-11-29 09:34:00+05:30,465.25,465.4,464.9,465.0,2539,0,0
2019-11-29 09:35:00+05:30,465.15,465.15,464.85,465.0,794,0,0
2019-11-29 09:36:00+05:30,465.0,465.2,464.95,465.0,1172,0,0
2019-11-29 09:37:00+05:30,465.0,465.25,464.85,465.25,812,0,0
2019-11-29 09:38:00+05:30,465.0,465.35,465.0,465.0,2206,0,0
2019-11-29 09:39:00+05:30,465.25,465.25,464.9,464.95,1781,0,0
2019-11-29 09:40:00+05:30,464.9,465.0,464.3,464.55,3476,0,0
2019-11-29 09:41:00+05:30,464.55,464.6,464.0,464.0,3258,0,0
2019-11-29 09:42:00+05:30,463.8,464.0,463.0,463.0,9942,0,0
2019-11-29 09:43:00+05:30,462.7,463.4,462.35,462.5,8870,0,0
2019-11-29 09:44:00+05:30,462.5,463.15,462.25,463.15,9767,0,0
2019-11-29 09:45:00+05:30,463.1,463.4,462.45,463.3,13409,0,0
2019-11-29 09:46:00+05:30,463.45,463.9,463.3,463.35,2009,0,0
2019-11-29 09:47:00+05:30,463.35,463.45,463.0,463.45,2966,0,0
2019-11-29 09:48:00+05:30,463.45,463.6,462.35,462.8,22730,0,0
2019-11-29 09:49:00+05:30,462.85,463.55,462.85,463.2,5941,0,0
2019-11-29 09:50:00+05:30,463.4,463.6,462.95,462.95,6271,0,0
