Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-28 09:15:00+05:30,88.2,88.4,88.1,88.3,0,0,0
2019-11-28 09:16:00+05:30,88.3,88.3,88.0,88.1,112993,0,0
2019-11-28 09:17:00+05:30,88.1,88.15,87.75,88.05,209666,0,0
2019-11-28 09:18:00+05:30,88.1,88.1,87.9,88.0,45314,0,0
2019-11-28 09:19:00+05:30,88.1,88.2,88.05,88.2,58925,0,0
2019-11-28 09:20:00+05:30,88.2,88.25,88.15,88.2,37443,0,0
2019-11-28 09:21:00+05:30,88.15,88.35,88.15,88.35,92329,0,0
2019-11-28 09:22:00+05:30,88.35,88.4,88.3,88.4,49085,0,0
2019-11-28 09:23:00+05:30,88.4,88.65,88.35,88.45,150687,0,0
2019-11-28 09:24:00+05:30,88.45,88.7,88.45,88.6,62754,0,0
2019-11-28 09:25:00+05:30,88.7,88.75,88.5,88.5,65097,0,0
2019-11-28 09:26:00+05:30,88.5,88.6,88.4,88.5,46915,0,0
2019-11-28 09:27:00+05:30,88.55,88.55,88.4,88.45,40107,0,0
2019-11-28 09:28:00+05:30,88.4,88.45,88.3,88.35,17214,0,0
2019-11-28 09:29:00+05:30,88.35,88.5,88.35,88.5,69690,0,0
2019-11-28 09:30:00+05:30,88.5,88.65,88.5,88.55,65415,0,0
2019-11-28 09:31:00+05:30,88.6,88.85,88.6,88.85,71367,0,0
2019-11-28 09:32:00+05:30,88.85,88.9,88.75,88.85,129021,0,0
2019-11-28 09:33:00+05:30,88.85,88.9,88.75,88.85,53917,0,0
2019-11-28 09:34:00+05:30,88.8,88.95,88.8,88.85,50651,0,0
2019-11-28 09:35:00+05:30,88.9,88.9,88.7,88.8,47029,0,0
2019-11-28 09:36:00+05:30,88.75,88.95,88.7,88.9,57578,0,0
2019-11-28 09:37:00+05:30,88.9,89.1,88.8,89.0,163530,0,0
2019-11-28 09:38:00+05:30,89.05,89.05,88.85,89.0,49991,0,0
2019-11-28 09:39:00+05:30,88.95,89.0,88.85,88.95,18485,0,0
