Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-28 09:15:00+05:30,5.95,6.05,5.95,6.0,0,0,0
2019-11-28 09:16:00+05:30,6.0,6.1,6.0,6.05,11507010,0,0
2019-11-28 09:17:00+05:30,6.05,6.15,6.05,6.15,8175631,0,0
2019-11-28 09:18:00+05:30,6.15,6.15,6.05,6.05,2786806,0,0
2019-11-28 09:19:00+05:30,6.1,6.1,6.0,6.0,8902170,0,0
2019-11-28 09:20:00+05:30,6.0,6.1,6.0,6.1,3307147,0,0
2019-11-28 09:21:00+05:30,6.05,6.1,6.05,6.1,1703317,0,0
2019-11-28 09:22:00+05:30,6.05,6.05,6.0,6.0,2250136,0,0
2019-11-28 09:23:00+05:30,6.0,6.05,6.0,6.0,1949294,0,0
2019-11-28 09:24:00+05:30,6.0,6.05,6.0,6.0,1829874,0,0
2019-11-28 09:25:00+05:30,6.0,6.05,6.0,6.05,497727,0,0
2019-11-28 09:26:00+05:30,6.05,6.05,6.0,6.05,219286,0,0
2019-11-28 09:27:00+05:30,6.0,6.1,6.0,6.05,5028795,0,0
2019-11-28 09:28:00+05:30,6.1,6.1,6.05,6.1,261061,0,0
2019-11-28 09:29:00+05:30,6.05,6.1,6.05,6.1,4585448,0,0
2019-11-28 09:30:00+05:30,6.1,6.15,6.1,6.15,2342836,0,0
2019-11-28 09:31:00+05:30,6.15,6.15,6.05,6.05,1677262,0,0
2019-11-28 09:32:00+05:30,6.1,6.1,6.05,6.1,270855,0,0
2019-11-28 09:33:00+05:30,6.1,6.1,6.05,6.05,131811,0,0
2019-11-28 09:34:00+05:30,6.05,6.1,6.05,6.1,329719,0,0
2019-11-28 09:35:00+05:30,6.05,6.1,6.05,6.1,126657,0,0
2019-11-28 09:36:00+05:30,6.1,6.1,6.05,6.05,374630,0,0
2019-11-28 09:37:00+05:30,6.05,6.1,6.05,6.1,218582,0,0
2019-11-28 09:38:00+05:30,6.1,6.1,6.05,6.1,336663,0,0
2019-11-28 09:39:00+05:30,6.1,6.1,6.05,6.1,139286,0,0
2019-11-28 09:40:00+05:30,6.1,6.1,6.05,6.05,153062,0,0
2019-11-28 09:41:00+05:30,6.1,6.1,6.05,6.1,111200,0,0
2019-11-28 09:42:00+05:30,6.1,6.1,6.05,6.1,221591,0,0
2019-11-28 09:43:00+05:30,6.1,6.1,6.05,6.1,171042,0,0
2019-11-28 09:44:00+05:30,6.1,6.1,6.05,6.1,135396,0,0
2019-11-28 09:45:00+05:30,6.05,6.1,6.05,6.1,235057,0,0
2019-11-28 09:46:00+05:30,6.1,6.1,6.05,6.05,124736,0,0
2019-11-28 09:47:00+05:30,6.05,6.1,6.05,6.05,207212,0,0
2019-11-28 09:48:00+05:30,6.1,6.1,6.05,6.05,358677,0,0
2019-11-28 09:49:00+05:30,6.1,6.1,6.05,6.05,223261,0,0
2019-11-28 09:50:00+05:30,6.1,6.1,6.05,6.05,173191,0,0
2019-11-28 09:51:00+05:30,6.05,6.1,6.05,6.1,169428,0,0
2019-11-28 09:52:00+05:30,6.05,6.1,6.05,6.1,298838,0,0
2019-11-28 09:53:00+05:30,6.05,6.1,6.05,6.05,7150689,0,0
2019-11-28 09:54:00+05:30,6.05,6.1,6.05,6.1,10242404,0,0
