Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-29 09:15:00+05:30,44.55,44.55,44.3,44.4,0,0,0
2019-11-29 09:16:00+05:30,44.3,44.6,44.3,44.45,515278,0,0
2019-11-29 09:17:00+05:30,44.6,44.6,44.45,44.5,359023,0,0
2019-11-29 09:18:00+05:30,44.5,44.6,44.45,44.55,177359,0,0
2019-11-29 09:19:00+05:30,44.55,44.55,44.5,44.5,117190,0,0
2019-11-29 09:20:00+05:30,44.6,44.6,44.5,44.55,56657,0,0
2019-11-29 09:21:00+05:30,44.55,44.6,44.45,44.55,133962,0,0
2019-11-29 09:22:00+05:30,44.55,44.65,44.55,44.65,474013,0,0
2019-11-29 09:23:00+05:30,44.65,44.85,44.65,44.85,369913,0,0
2019-11-29 09:24:00+05:30,44.95,45.0,44.85,44.95,908974,0,0
2019-11-29 09:25:00+05:30,44.95,45.2,44.9,45.15,597472,0,0
2019-11-29 09:26:00+05:30,45.1,45.1,44.9,45.0,593244,0,0
2019-11-29 09:27:00+05:30,45.0,45.1,44.9,44.9,409815,0,0
2019-11-29 09:28:00+05:30,44.95,45.05,44.9,45.05,411891,0,0
2019-11-29 09:29:00+05:30,45.0,45.1,44.95,45.0,310849,0,0
2019-11-29 09:30:00+05:30,44.95,44.95,44.7,44.75,440326,0,0
2019-11-29 09:31:00+05:30,44.75,45.05,44.75,44.95,445751,0,0
2019-11-29 09:32:00+05:30,45.0,45.15,44.95,45.0,372185,0,0
2019-11-29 09:33:00+05:30,45.0,45.1,44.95,45.1,279596,0,0
2019-11-29 09:34:00+05:30,45.15,45.25,45.1,45.1,649702,0,0
2019-11-29 09:35:00+05:30,45.05,45.1,44.95,45.1,233076,0,0
2019-11-29 09:36:00+05:30,45.1,45.65,45.1,45.6,2149786,0,0
2019-11-29 09:37:00+05:30,45.7,45.9,45.6,45.8,2299283,0,0
2019-11-29 09:38:00+05:30,45.9,46.25,45.8,46.25,1720792,0,0
2019-11-29 09:39:00+05:30,46.2,46.35,46.1,46.3,1728721,0,0
2019-11-29 09:40:00+05:30,46.2,46.5,46.15,46.4,1228353,0,0
2019-11-29 09:41:00+05:30,46.45,46.7,46.45,46.7,1383063,0,0
2019-11-29 09:42:00+05:30,46.7,46.8,46.6,46.75,1793911,0,0
2019-11-29 09:43:00+05:30,46.7,47.0,46.7,46.9,2111334,0,0
2019-11-29 09:44:00+05:30,46.9,46.9,46.7,46.85,1124385,0,0
2019-11-29 09:45:00+05:30,46.85,46.95,46.85,46.9,760082,0,0
2019-11-29 09:46:00+05:30,46.95,46.95,46.5,46.65,948687,0,0
2019-11-29 09:47:00+05:30,46.6,46.7,46.6,46.65,519550,0,0
2019-11-29 09:48:00+05:30,46.6,46.75,46.55,46.7,659477,0,0
2019-11-29 09:49:00+05:30,46.7,46.75,46.6,46.6,584225,0,0
2019-11-29 09:50:00+05:30,46.65,46.65,46.55,46.6,511910,0,0
2019-11-29 09:51:00+05:30,46.6,46.65,46.6,46.65,355144,0,0
2019-11-29 09:52:00+05:30,46.65,46.65,46.55,46.55,410064,0,0
2019-11-29 09:53:00+05:30,46.55,46.6,46.45,46.6,553986,0,0
2019-11-29 09:54:00+05:30,46.55,46.6,46.35,46.35,550177,0,0
2019-11-29 09:55:00+05:30,46.35,46.5,46.3,46.45,713494,0,0
2019-11-29 09:56:00+05:30,46.4,46.5,46.4,46.45,200146,0,0
2019-11-29 09:57:00+05:30,46.4,46.5,46.4,46.45,298218,0,0
2019-11-29 09:58:00+05:30,46.45,46.5,46.35,46.5,281144,0,0
2019-11-29 09:59:00+05:30,46.5,46.65,46.5,46.6,740116,0,0
2019-11-29 10:00:00+05:30,46.6,46.75,46.6,46.7,253262,0,0
2019-11-29 10:01:00+05:30,46.75,47.4,46.7,47.4,1702587,0,0
2019-11-29 10:02:00+05:30,47.4,47.75,47.3,47.75,1400525,0,0
2019-11-29 10:03:00+05:30,47.75,47.75,47.3,47.35,761488,0,0
2019-11-29 10:04:00+05:30,47.35,47.5,47.3,47.45,466549,0,0
2019-11-29 10:05:00+05:30,47.5,47.75,47.45,47.7,803089,0,0
2019-11-29 10:06:00+05:30,47.7,47.75,47.45,47.5,528091,0,0
2019-11-29 10:07:00+05:30,47.5,47.7,47.5,47.65,437462,0,0
2019-11-29 10:08:00+05:30,47.7,47.7,47.45,47.5,1163878,0,0
2019-11-29 10:09:00+05:30,47.5,47.6,47.5,47.5,322713,0,0
2019-11-29 10:10:00+05:30,47.5,47.55,47.35,47.55,399947,0,0
2019-11-29 10:11:00+05:30,47.6,47.6,47.5,47.55,241869,0,0
2019-11-29 10:12:00+05:30,47.5,47.6,47.45,47.6,232008,0,0
2019-11-29 10:13:00+05:30,47.55,47.6,47.45,47.55,212419,0,0
2019-11-29 10:14:00+05:30,47.5,47.55,47.45,47.5,211406,0,0
2019-11-29 10:15:00+05:30,47.5,47.55,47.45,47.55,193406,0,0
2019-11-29 10:16:00+05:30,47.55,47.6,47.5,47.5,199822,0,0
2019-11-29 10:17:00+05:30,47.55,47.55,47.45,47.5,107442,0,0
2019-11-29 10:18:00+05:30,47.5,47.55,47.5,47.55,85273,0,0
2019-11-29 10:19:00+05:30,47.5,47.55,47.45,47.45,133716,0,0
2019-11-29 10:20:00+05:30,47.45,47.5,47.4,47.45,218264,0,0
2019-11-29 10:21:00+05:30,47.4,47.6,47.4,47.55,466966,0,0
2019-11-29 10:22:00+05:30,47.6,47.65,47.55,47.55,109292,0,0
2019-11-29 10:23:00+05:30,47.6,47.65,47.5,47.5,237465,0,0
2019-11-29 10:24:00+05:30,47.5,47.6,47.5,47.5,76854,0,0
2019-11-29 10:25:00+05:30,47.55,47.6,47.45,47.5,101690,0,0
2019-11-29 10:26:00+05:30,47.45,47.55,47.35,47.35,301248,0,0
2019-11-29 10:27:00+05:30,47.45,47.5,47.35,47.4,192177,0,0
2019-11-29 10:28:00+05:30,47.45,47.55,47.4,47.5,233407,0,0
2019-11-29 10:29:00+05:30,47.55,47.55,47.45,47.55,168806,0,0
2019-11-29 10:30:00+05:30,47.55,47.55,47.45,47.45,81967,0,0
2019-11-29 10:31:00+05:30,47.45,47.5,47.35,47.35,138237,0,0
2019-11-29 10:32:00+05:30,47.35,47.4,47.15,47.15,270278,0,0
2019-11-29 10:33:00+05:30,47.15,47.2,47.1,47.2,214885,0,0
2019-11-29 10:34:00+05:30,47.15,47.25,47.15,47.2,148148,0,0
2019-11-29 10:35:00+05:30,47.2,47.35,47.15,47.25,146977,0,0
2019-11-29 10:36:00+05:30,47.3,47.55,47.25,47.5,371447,0,0
2019-11-29 10:37:00+05:30,47.45,47.5,47.45,47.5,130452,0,0
2019-11-29 10:38:00+05:30,47.45,47.55,47.45,47.55,210103,0,0
2019-11-29 10:39:00+05:30,47.5,47.7,47.5,47.6,1125877,0,0
2019-11-29 10:40:00+05:30,47.6,47.6,47.5,47.5,276904,0,0
2019-11-29 10:41:00+05:30,47.5,47.6,47.45,47.5,216580,0,0
2019-11-29 10:42:00+05:30,47.45,47.5,47.4,47.45,157476,0,0
2019-11-29 10:43:00+05:30,47.4,47.45,47.35,47.45,83762,0,0
2019-11-29 10:44:00+05:30,47.4,47.5,47.4,47.45,255471,0,0
2019-11-29 10:45:00+05:30,47.5,47.6,47.45,47.6,276479,0,0
2019-11-29 10:46:00+05:30,47.6,47.65,47.55,47.55,202572,0,0
2019-11-29 10:47:00+05:30,47.6,47.65,47.55,47.6,227566,0,0
2019-11-29 10:48:00+05:30,47.6,47.9,47.6,47.75,1571858,0,0
2019-11-29 10:49:00+05:30,47.75,47.8,47.65,47.7,440794,0,0
2019-11-29 10:50:00+05:30,47.65,47.7,47.6,47.6,251568,0,0
2019-11-29 10:51:00+05:30,47.65,47.65,47.55,47.6,186012,0,0
2019-11-29 10:52:00+05:30,47.55,47.6,47.55,47.6,99490,0,0
2019-11-29 10:53:00+05:30,47.55,47.6,47.45,47.45,210016,0,0
2019-11-29 10:54:00+05:30,47.45,47.55,47.45,47.5,117319,0,0
2019-11-29 10:55:00+05:30,47.5,47.55,47.45,47.5,85596,0,0
2019-11-29 10:56:00+05:30,47.5,47.55,47.45,47.5,145745,0,0
2019-11-29 10:57:00+05:30,47.55,47.55,47.35,47.45,351664,0,0
2019-11-29 10:58:00+05:30,47.45,47.5,47.4,47.4,87127,0,0
2019-11-29 10:59:00+05:30,47.45,47.5,47.45,47.45,68911,0,0
2019-11-29 11:00:00+05:30,47.45,47.5,47.4,47.5,158408,0,0
2019-11-29 11:01:00+05:30,47.45,47.5,47.4,47.45,34003,0,0
2019-11-29 11:02:00+05:30,47.4,47.45,47.35,47.4,228075,0,0
2019-11-29 11:03:00+05:30,47.4,47.45,47.35,47.4,101390,0,0
2019-11-29 11:04:00+05:30,47.4,47.4,47.3,47.3,234313,0,0
2019-11-29 11:05:00+05:30,47.3,47.35,47.3,47.3,72175,0,0
2019-11-29 11:06:00+05:30,47.35,47.35,47.25,47.25,74600,0,0
2019-11-29 11:07:00+05:30,47.25,47.3,47.2,47.2,317270,0,0
2019-11-29 11:08:00+05:30,47.25,47.25,47.1,47.1,287140,0,0
2019-11-29 11:09:00+05:30,47.1,47.2,47.0,47.0,311543,0,0
2019-11-29 11:10:00+05:30,47.05,47.15,46.95,47.1,307268,0,0
2019-11-29 11:11:00+05:30,47.1,47.15,47.0,47.0,128157,0,0
2019-11-29 11:12:00+05:30,47.0,47.05,46.95,47.0,91792,0,0
2019-11-29 11:13:00+05:30,47.0,47.0,46.85,46.9,424511,0,0
2019-11-29 11:14:00+05:30,46.85,47.1,46.85,47.05,354307,0,0
2019-11-29 11:15:00+05:30,47.0,47.15,47.0,47.1,339924,0,0
2019-11-29 11:16:00+05:30,47.05,47.1,46.95,46.95,234880,0,0
2019-11-29 11:17:00+05:30,47.0,47.0,46.9,47.0,74796,0,0
2019-11-29 11:18:00+05:30,46.95,47.1,46.95,47.1,171206,0,0
2019-11-29 11:19:00+05:30,47.1,47.15,47.05,47.15,135576,0,0
2019-11-29 11:20:00+05:30,47.15,47.15,47.05,47.05,127568,0,0
2019-11-29 11:21:00+05:30,47.05,47.2,47.05,47.2,68258,0,0
2019-11-29 11:22:00+05:30,47.2,47.2,47.1,47.15,104365,0,0
2019-11-29 11:23:00+05:30,47.2,47.3,47.2,47.2,241752,0,0
2019-11-29 11:24:00+05:30,47.2,47.25,47.2,47.2,44357,0,0
2019-11-29 11:25:00+05:30,47.2,47.25,47.15,47.15,151949,0,0
2019-11-29 11:26:00+05:30,47.15,47.25,47.15,47.2,107918,0,0
2019-11-29 11:27:00+05:30,47.25,47.25,47.15,47.15,139471,0,0
2019-11-29 11:28:00+05:30,47.15,47.25,47.15,47.15,80512,0,0
2019-11-29 11:29:00+05:30,47.2,47.2,47.05,47.05,151990,0,0
2019-11-29 11:30:00+05:30,47.05,47.1,46.95,47.0,197050,0,0
2019-11-29 11:31:00+05:30,47.0,47.1,46.8,46.9,453039,0,0
2019-11-29 11:32:00+05:30,46.85,47.0,46.85,46.9,97174,0,0
2019-11-29 11:33:00+05:30,46.9,46.9,46.75,46.8,133086,0,0
2019-11-29 11:34:00+05:30,46.75,46.8,46.7,46.8,86501,0,0
2019-11-29 11:35:00+05:30,46.65,47.05,46.65,46.95,411641,0,0
2019-11-29 11:36:00+05:30,47.0,47.05,46.95,47.0,128952,0,0
2019-11-29 11:37:00+05:30,47.05,47.05,46.95,47.0,84864,0,0
2019-11-29 11:38:00+05:30,47.0,47.0,46.95,47.0,30253,0,0
2019-11-29 11:39:00+05:30,46.95,47.0,46.95,47.0,27993,0,0
2019-11-29 11:40:00+05:30,46.95,46.95,46.9,46.95,39061,0,0
2019-11-29 11:41:00+05:30,46.95,46.95,46.85,46.85,44566,0,0
2019-11-29 11:42:00+05:30,46.85,46.9,46.8,46.9,67365,0,0
2019-11-29 11:43:00+05:30,46.9,47.0,46.85,46.95,78098,0,0
2019-11-29 11:44:00+05:30,46.95,46.95,46.85,46.95,73908,0,0
2019-11-29 11:45:00+05:30,46.85,46.9,46.8,46.8,100151,0,0
2019-11-29 11:46:00+05:30,46.8,46.9,46.8,46.9,57188,0,0
2019-11-29 11:47:00+05:30,46.85,46.9,46.8,46.8,75859,0,0
2019-11-29 11:48:00+05:30,46.8,46.9,46.8,46.8,50756,0,0
2019-11-29 11:49:00+05:30,46.8,46.85,46.8,46.8,30336,0,0
2019-11-29 11:50:00+05:30,46.8,46.85,46.65,46.7,268755,0,0
2019-11-29 11:51:00+05:30,46.75,46.75,46.65,46.7,83231,0,0
2019-11-29 11:52:00+05:30,46.7,46.75,46.65,46.65,54325,0,0
2019-11-29 11:53:00+05:30,46.7,46.75,46.7,46.7,46697,0,0
2019-11-29 11:54:00+05:30,46.7,46.75,46.65,46.7,90760,0,0
2019-11-29 11:55:00+05:30,46.75,46.75,46.6,46.6,106871,0,0
2019-11-29 11:56:00+05:30,46.6,46.7,46.6,46.7,123132,0,0
2019-11-29 11:57:00+05:30,46.7,46.75,46.7,46.7,69156,0,0
2019-11-29 11:58:00+05:30,46.75,46.75,46.7,46.75,24704,0,0
2019-11-29 11:59:00+05:30,46.7,46.8,46.7,46.7,48280,0,0
