Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-28 09:15:00+05:30,408.25,409.8,408.25,409.45,0,0,0
2019-11-28 09:16:00+05:30,409.5,409.75,409.0,409.65,6999,0,0
2019-11-28 09:17:00+05:30,409.6,409.85,408.75,408.75,8989,0,0
2019-11-28 09:18:00+05:30,408.75,408.8,408.25,408.4,4698,0,0
2019-11-28 09:19:00+05:30,408.4,409.25,408.4,408.95,4414,0,0
2019-11-28 09:20:00+05:30,409.0,409.2,408.9,408.9,5900,0,0
2019-11-28 09:21:00+05:30,408.9,409.2,408.35,408.45,4686,0,0
2019-11-28 09:22:00+05:30,408.65,408.7,408.4,408.6,2858,0,0
2019-11-28 09:23:00+05:30,408.6,408.65,408.25,408.65,4275,0,0
2019-11-28 09:24:00+05:30,408.5,408.6,408.2,408.35,628,0,0
2019-11-28 09:25:00+05:30,408.35,408.6,408.35,408.45,743,0,0
2019-11-28 09:26:00+05:30,408.45,408.45,408.3,408.35,552,0,0
2019-11-28 09:27:00+05:30,408.7,409.15,408.7,409.05,5218,0,0
2019-11-28 09:28:00+05:30,409.3,409.3,408.8,408.8,4496,0,0
2019-11-28 09:29:00+05:30,409.0,409.5,409.0,409.45,3761,0,0
2019-11-28 09:30:00+05:30,409.4,410.5,409.4,410.15,10816,0,0
2019-11-28 09:31:00+05:30,410.1,410.45,410.1,410.25,5091,0,0
2019-11-28 09:32:00+05:30,410.25,410.45,410.05,410.05,2713,0,0
2019-11-28 09:33:00+05:30,410.2,410.4,410.1,410.4,7377,0,0
2019-11-28 09:34:00+05:30,410.5,410.55,410.2,410.55,2371,0,0
2019-11-28 09:35:00+05:30,410.4,410.6,410.2,410.6,6034,0,0
2019-11-28 09:36:00+05:30,410.65,411.6,410.65,411.5,13646,0,0
2019-11-28 09:37:00+05:30,411.5,412.0,411.25,412.0,15757,0,0
2019-11-28 09:38:00+05:30,411.8,412.45,411.8,412.2,14663,0,0
2019-11-28 09:39:00+05:30,412.2,412.4,411.25,411.55,22227,0,0
2019-11-28 09:40:00+05:30,411.55,411.75,411.0,411.1,11405,0,0
2019-11-28 09:41:00+05:30,411.35,411.65,411.15,411.2,6429,0,0
2019-11-28 09:42:00+05:30,411.0,411.2,410.55,410.75,8779,0,0
2019-11-28 09:43:00+05:30,410.4,411.1,410.3,410.95,6841,0,0
2019-11-28 09:44:00+05:30,411.0,411.0,409.85,410.0,20070,0,0
2019-11-28 09:45:00+05:30,410.0,410.1,410.0,410.05,7175,0,0
2019-11-28 09:46:00+05:30,410.05,410.15,410.0,410.1,2701,0,0
2019-11-28 09:47:00+05:30,410.1,410.85,410.0,410.75,4104,0,0
2019-11-28 09:48:00+05:30,410.75,410.75,410.45,410.65,5192,0,0
2019-11-28 09:49:00+05:30,410.65,410.7,410.5,410.6,3920,0,0
2019-11-28 09:50:00+05:30,410.5,410.65,410.2,410.2,5369,0,0
2019-11-28 09:51:00+05:30,410.25,411.3,410.1,411.1,16688,0,0
2019-11-28 09:52:00+05:30,411.3,411.5,411.0,411.2,7699,0,0
2019-11-28 09:53:00+05:30,411.45,411.5,411.15,411.45,3244,0,0
2019-11-28 09:54:00+05:30,411.45,411.45,411.2,411.45,818,0,0
2019-11-28 09:55:00+05:30,411.25,411.45,411.25,411.25,2005,0,0
2019-11-28 09:56:00+05:30,411.25,411.45,411.2,411.45,2856,0,0
2019-11-28 09:57:00+05:30,411.5,411.75,411.5,411.6,2742,0,0
2019-11-28 09:58:00+05:30,411.65,411.65,411.35,411.4,1831,0,0
2019-11-28 09:59:00+05:30,411.4,411.65,411.4,411.5,1670,0,0
2019-11-28 10:00:00+05:30,411.5,411.9,411.5,411.75,3173,0,0
2019-11-28 10:01:00+05:30,411.75,412.0,411.75,411.75,6786,0,0
2019-11-28 10:02:00+05:30,411.75,411.95,411.5,411.9,4308,0,0
2019-11-28 10:03:00+05:30,411.9,411.9,411.6,411.6,995,0,0
2019-11-28 10:04:00+05:30,411.6,411.85,411.6,411.85,1255,0,0
2019-11-28 10:05:00+05:30,411.8,411.85,411.35,411.65,5732,0,0
2019-11-28 10:06:00+05:30,411.5,411.6,411.3,411.35,1254,0,0
2019-11-28 10:07:00+05:30,411.45,411.45,411.2,411.2,1833,0,0
2019-11-28 10:08:00+05:30,411.2,411.3,410.75,410.75,5340,0,0
2019-11-28 10:09:00+05:30,410.85,410.95,410.55,410.65,1793,0,0
2019-11-28 10:10:00+05:30,410.65,411.0,410.45,410.7,4235,0,0
2019-11-28 10:11:00+05:30,410.7,411.3,410.7,411.3,6798,0,0
2019-11-28 10:12:00+05:30,411.3,411.3,411.2,411.2,805,0,0
2019-11-28 10:13:00+05:30,411.2,411.3,411.05,411.3,2329,0,0
2019-11-28 10:14:00+05:30,411.05,411.25,410.95,410.95,1413,0,0
2019-11-28 10:15:00+05:30,411.0,411.5,411.0,411.3,4456,0,0
2019-11-28 10:16:00+05:30,411.35,411.45,411.2,411.25,899,0,0
2019-11-28 10:17:00+05:30,411.3,411.35,411.25,411.35,773,0,0
2019-11-28 10:18:00+05:30,411.35,411.35,411.2,411.25,769,0,0
2019-11-28 10:19:00+05:30,411.25,411.25,411.0,411.0,109,0,0
2019-11-28 10:20:00+05:30,411.0,411.4,411.0,411.25,4877,0,0
2019-11-28 10:21:00+05:30,411.2,411.2,410.8,410.8,1234,0,0
2019-11-28 10:22:00+05:30,410.8,410.95,410.6,410.8,3428,0,0
2019-11-28 10:23:00+05:30,410.6,410.8,410.4,410.45,2706,0,0
2019-11-28 10:24:00+05:30,410.75,410.75,410.35,410.35,3035,0,0
2019-11-28 10:25:00+05:30,410.3,410.35,410.1,410.15,2803,0,0
2019-11-28 10:26:00+05:30,410.2,410.2,409.9,410.15,8035,0,0
2019-11-28 10:27:00+05:30,410.15,410.15,410.0,410.0,2115,0,0
2019-11-28 10:28:00+05:30,410.15,410.25,410.0,410.0,1130,0,0
2019-11-28 10:29:00+05:30,410.2,410.25,410.0,410.0,403,0,0
2019-11-28 10:30:00+05:30,410.0,410.0,409.9,409.9,1611,0,0
2019-11-28 10:31:00+05:30,410.0,410.1,409.9,409.9,580,0,0
2019-11-28 10:32:00+05:30,410.0,410.1,409.9,410.0,838,0,0
2019-11-28 10:33:00+05:30,410.0,410.0,409.95,410.0,610,0,0
2019-11-28 10:34:00+05:30,410.0,410.5,409.95,410.35,3407,0,0
2019-11-28 10:35:00+05:30,410.35,410.6,410.2,410.6,3289,0,0
2019-11-28 10:36:00+05:30,410.8,410.85,410.7,410.8,381,0,0
2019-11-28 10:37:00+05:30,410.8,410.8,410.65,410.7,621,0,0
2019-11-28 10:38:00+05:30,410.7,410.85,410.5,410.8,2074,0,0
2019-11-28 10:39:00+05:30,410.8,410.85,410.7,410.7,0,0,0
2019-11-28 10:40:00+05:30,410.7,410.7,410.7,410.7,262,0,0
2019-11-28 10:41:00+05:30,410.7,410.7,410.6,410.65,2107,0,0
2019-11-28 10:42:00+05:30,410.6,410.65,410.55,410.65,599,0,0
2019-11-28 10:43:00+05:30,410.7,410.75,410.65,410.75,216,0,0
2019-11-28 10:44:00+05:30,410.5,410.75,410.5,410.75,557,0,0
2019-11-28 10:45:00+05:30,410.85,410.95,410.75,410.85,1121,0,0
2019-11-28 10:46:00+05:30,410.95,410.95,410.75,410.95,308,0,0
2019-11-28 10:47:00+05:30,411.1,411.1,410.9,411.1,3539,0,0
2019-11-28 10:48:00+05:30,410.95,411.1,410.85,410.85,848,0,0
2019-11-28 10:49:00+05:30,411.0,411.0,410.5,410.5,3545,0,0
2019-11-28 10:50:00+05:30,410.5,410.5,410.3,410.5,1820,0,0
2019-11-28 10:51:00+05:30,410.5,410.5,410.15,410.15,2892,0,0
2019-11-28 10:52:00+05:30,410.1,410.35,409.75,410.0,2609,0,0
2019-11-28 10:53:00+05:30,409.75,410.5,409.75,410.2,1432,0,0
2019-11-28 10:54:00+05:30,410.05,410.2,410.0,410.2,247,0,0
2019-11-28 10:55:00+05:30,410.2,410.35,410.1,410.35,459,0,0
2019-11-28 10:56:00+05:30,410.35,410.4,410.1,410.4,516,0,0
2019-11-28 10:57:00+05:30,410.4,410.4,410.2,410.2,195,0,0
2019-11-28 10:58:00+05:30,410.2,410.4,410.2,410.4,81,0,0
