Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-28 09:15:00+05:30,560.55,565.25,560.55,564.95,0,0,0
2019-11-28 09:16:00+05:30,565.1,566.75,564.8,566.05,28427,0,0
2019-11-28 09:17:00+05:30,566.0,568.0,565.1,568.0,23080,0,0
2019-11-28 09:18:00+05:30,568.0,568.95,567.15,567.95,26190,0,0
2019-11-28 09:19:00+05:30,567.6,568.5,567.35,567.35,15522,0,0
2019-11-28 09:20:00+05:30,567.65,568.5,567.4,568.0,17586,0,0
2019-11-28 09:21:00+05:30,568.0,568.45,567.5,568.2,8206,0,0
2019-11-28 09:22:00+05:30,568.9,570.35,568.7,570.0,41115,0,0
2019-11-28 09:23:00+05:30,569.6,570.5,568.7,569.35,18481,0,0
2019-11-28 09:24:00+05:30,569.2,569.45,567.75,568.5,17666,0,0
2019-11-28 09:25:00+05:30,568.55,569.1,567.75,567.8,14802,0,0
2019-11-28 09:26:00+05:30,567.9,568.15,566.0,566.85,23054,0,0
2019-11-28 09:27:00+05:30,566.8,567.3,566.55,566.9,9770,0,0
2019-11-28 09:28:00+05:30,566.75,567.0,566.0,566.25,10660,0,0
2019-11-28 09:29:00+05:30,566.25,567.4,566.25,566.65,11561,0,0
2019-11-28 09:30:00+05:30,566.75,567.05,566.25,567.0,8350,0,0
2019-11-28 09:31:00+05:30,567.05,567.75,567.05,567.5,12118,0,0
2019-11-28 09:32:00+05:30,567.75,568.8,567.5,568.7,4864,0,0
2019-11-28 09:33:00+05:30,568.0,568.55,567.75,567.75,5349,0,0
2019-11-28 09:34:00+05:30,567.6,567.6,566.55,567.0,7035,0,0
2019-11-28 09:35:00+05:30,567.25,567.3,566.5,566.6,5274,0,0
2019-11-28 09:36:00+05:30,566.5,567.25,566.5,566.9,2244,0,0
2019-11-28 09:37:00+05:30,566.85,568.0,566.85,567.7,4455,0,0
2019-11-28 09:38:00+05:30,567.8,567.9,567.3,567.4,4287,0,0
2019-11-28 09:39:00+05:30,567.4,567.8,567.25,567.75,6981,0,0
2019-11-28 09:40:00+05:30,567.75,567.75,567.15,567.5,1259,0,0
2019-11-28 09:41:00+05:30,567.6,567.8,566.5,567.0,19245,0,0
2019-11-28 09:42:00+05:30,566.65,566.75,566.0,566.25,10521,0,0
2019-11-28 09:43:00+05:30,566.45,566.45,565.6,565.75,4119,0,0
2019-11-28 09:44:00+05:30,565.6,566.0,565.35,565.95,4079,0,0
2019-11-28 09:45:00+05:30,566.0,566.0,565.4,565.4,4924,0,0
2019-11-28 09:46:00+05:30,565.85,566.0,565.1,565.2,6491,0,0
2019-11-28 09:47:00+05:30,565.1,565.1,563.05,564.5,23410,0,0
2019-11-28 09:48:00+05:30,564.5,564.95,564.1,564.75,5302,0,0
2019-11-28 09:49:00+05:30,564.75,565.35,564.75,565.25,2606,0,0
2019-11-28 09:50:00+05:30,565.25,565.25,565.0,565.0,2077,0,0
2019-11-28 09:51:00+05:30,565.1,565.1,564.85,564.85,2529,0,0
2019-11-28 09:52:00+05:30,564.85,565.1,564.85,565.1,1989,0,0
2019-11-28 09:53:00+05:30,564.85,566.0,564.85,565.55,7459,0,0
2019-11-28 09:54:00+05:30,565.5,566.85,565.1,566.7,5235,0,0
2019-11-28 09:55:00+05:30,566.5,566.5,565.25,565.65,2469,0,0
2019-11-28 09:56:00+05:30,565.35,566.0,565.1,566.0,1850,0,0
2019-11-28 09:57:00+05:30,566.0,566.0,564.65,564.9,4267,0,0
2019-11-28 09:58:00+05:30,564.85,565.0,564.5,565.0,2829,0,0
2019-11-28 09:59:00+05:30,565.0,565.0,564.0,564.7,5693,0,0
2019-11-28 10:00:00+05:30,564.5,565.0,564.45,564.95,2341,0,0
2019-11-28 10:01:00+05:30,564.75,564.95,564.0,564.7,5813,0,0
2019-11-28 10:02:00+05:30,564.7,565.5,564.15,565.0,4417,0,0
2019-11-28 10:03:00+05:30,564.7,566.0,564.6,565.55,5430,0,0
2019-11-28 10:04:00+05:30,565.95,567.0,565.75,566.9,5949,0,0
2019-11-28 10:05:00+05:30,567.0,567.0,566.75,567.0,1737,0,0
2019-11-28 10:06:00+05:30,566.65,567.0,566.6,566.85,1585,0,0
2019-11-28 10:07:00+05:30,567.0,567.0,565.75,565.85,8362,0,0
2019-11-28 10:08:00+05:30,565.85,566.3,565.6,565.6,1059,0,0
2019-11-28 10:09:00+05:30,565.6,565.95,565.1,565.3,4264,0,0
2019-11-28 10:10:00+05:30,565.3,566.0,565.2,565.5,3547,0,0
2019-11-28 10:11:00+05:30,566.0,566.3,565.05,565.45,4278,0,0
2019-11-28 10:12:00+05:30,565.75,565.75,565.0,565.05,3532,0,0
2019-11-28 10:13:00+05:30,565.05,565.75,565.05,565.6,1307,0,0
2019-11-28 10:14:00+05:30,565.6,565.6,565.05,565.25,402,0,0
2019-11-28 10:15:00+05:30,565.5,565.6,565.05,565.35,454,0,0
2019-11-28 10:16:00+05:30,565.65,566.4,565.65,566.25,3044,0,0
2019-11-28 10:17:00+05:30,566.05,566.45,566.05,566.3,1382,0,0
2019-11-28 10:18:00+05:30,566.25,566.3,565.4,565.4,483,0,0
2019-11-28 10:19:00+05:30,565.4,565.75,565.25,565.75,446,0,0
2019-11-28 10:20:00+05:30,565.8,566.5,565.7,565.7,3168,0,0
2019-11-28 10:21:00+05:30,566.05,566.15,565.25,565.25,971,0,0
2019-11-28 10:22:00+05:30,565.3,565.45,564.75,564.75,2729,0,0
2019-11-28 10:23:00+05:30,564.7,564.95,564.3,564.5,3736,0,0
2019-11-28 10:24:00+05:30,564.5,564.6,564.4,564.6,1786,0,0
2019-11-28 10:25:00+05:30,564.75,565.75,564.75,565.45,2774,0,0
2019-11-28 10:26:00+05:30,565.1,565.45,565.05,565.1,403,0,0
2019-11-28 10:27:00+05:30,565.1,565.1,564.55,564.7,3540,0,0
2019-11-28 10:28:00+05:30,564.7,564.8,564.5,564.5,1193,0,0
2019-11-28 10:29:00+05:30,564.5,565.0,564.5,564.75,1609,0,0
2019-11-28 10:30:00+05:30,564.6,565.0,564.5,564.7,2211,0,0
2019-11-28 10:31:00+05:30,564.7,565.1,564.7,564.7,2595,0,0
2019-11-28 10:32:00+05:30,564.95,565.1,564.95,564.95,388,0,0
2019-11-28 10:33:00+05:30,564.75,565.7,564.75,565.5,657,0,0
2019-11-28 10:34:00+05:30,565.35,566.35,565.35,566.0,2921,0,0
2019-11-28 10:35:00+05:30,565.8,566.1,565.8,565.9,3453,0,0
2019-11-28 10:36:00+05:30,565.9,566.0,565.6,565.9,589,0,0
2019-11-28 10:37:00+05:30,565.85,566.2,565.75,566.2,1616,0,0
2019-11-28 10:38:00+05:30,566.1,566.45,566.05,566.45,1036,0,0
2019-11-28 10:39:00+05:30,566.4,567.0,566.4,567.0,5908,0,0
2019-11-28 10:40:00+05:30,566.95,567.75,566.65,567.25,8435,0,0
2019-11-28 10:41:00+05:30,567.25,567.8,567.15,567.8,3677,0,0
2019-11-28 10:42:00+05:30,567.8,568.45,567.2,567.4,9263,0,0
2019-11-28 10:43:00+05:30,567.45,567.55,566.55,567.5,3875,0,0
2019-11-28 10:44:00+05:30,567.15,567.5,566.3,566.45,2912,0,0
2019-11-28 10:45:00+05:30,566.3,566.9,566.25,566.9,1664,0,0
2019-11-28 10:46:00+05:30,566.9,566.95,566.7,566.95,935,0,0
2019-11-28 10:47:00+05:30,566.9,566.9,566.45,566.75,650,0,0
2019-11-28 10:48:00+05:30,566.85,567.2,566.85,567.0,1235,0,0
2019-11-28 10:49:00+05:30,567.15,567.2,566.85,567.2,591,0,0
2019-11-28 10:50:00+05:30,567.2,567.45,567.0,567.35,992,0,0
2019-11-28 10:51:00+05:30,567.4,567.45,566.5,566.8,2900,0,0
2019-11-28 10:52:00+05:30,566.55,566.75,566.35,566.35,555,0,0
2019-11-28 10:53:00+05:30,566.05,566.35,566.0,566.1,735,0,0
2019-11-28 10:54:00+05:30,566.15,566.3,565.75,566.25,1836,0,0
2019-11-28 10:55:00+05:30,566.3,566.7,566.1,566.1,2646,0,0
2019-11-28 10:56:00+05:30,566.3,566.35,566.05,566.3,292,0,0
2019-11-28 10:57:00+05:30,566.15,566.7,566.05,566.3,1586,0,0
2019-11-28 10:58:00+05:30,566.3,566.7,566.05,566.4,508,0,0
2019-11-28 10:59:00+05:30,566.1,566.4,566.05,566.05,93,0,0
2019-11-28 11:00:00+05:30,566.05,566.1,565.95,566.0,890,0,0
2019-11-28 11:01:00+05:30,566.0,566.0,565.9,565.9,311,0,0
2019-11-28 11:02:00+05:30,565.9,566.0,565.85,566.0,335,0,0
2019-11-28 11:03:00+05:30,566.0,566.15,565.9,566.0,2326,0,0
2019-11-28 11:04:00+05:30,566.4,566.4,565.75,565.9,1437,0,0
