Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-28 09:15:00+05:30,608.7,608.8,607.25,608.05,0,0,0
2019-11-28 09:16:00+05:30,608.1,609.55,608.1,609.45,8371,0,0
2019-11-28 09:17:00+05:30,609.45,610.0,609.25,610.0,4162,0,0
2019-11-28 09:18:00+05:30,609.9,611.0,609.5,609.6,4234,0,0
2019-11-28 09:19:00+05:30,610.05,610.65,610.05,610.25,3383,0,0
2019-11-28 09:20:00+05:30,610.45,611.0,609.8,609.8,8517,0,0
2019-11-28 09:21:00+05:30,609.8,610.45,609.7,610.0,2845,0,0
2019-11-28 09:22:00+05:30,610.0,611.0,610.0,611.0,3602,0,0
2019-11-28 09:23:00+05:30,611.2,611.3,610.0,610.0,2557,0,0
2019-11-28 09:24:00+05:30,610.1,610.5,609.7,609.85,3622,0,0
2019-11-28 09:25:00+05:30,609.9,610.0,609.15,609.35,1528,0,0
2019-11-28 09:26:00+05:30,609.5,609.5,609.0,609.15,1268,0,0
2019-11-28 09:27:00+05:30,609.2,609.3,608.95,609.3,2099,0,0
2019-11-28 09:28:00+05:30,609.3,609.3,608.3,608.45,2386,0,0
2019-11-28 09:29:00+05:30,608.15,608.6,607.9,607.9,4931,0,0
2019-11-28 09:30:00+05:30,608.0,608.5,607.9,608.5,4043,0,0
2019-11-28 09:31:00+05:30,608.4,608.6,607.95,608.1,3066,0,0
2019-11-28 09:32:00+05:30,608.1,608.2,607.95,608.2,1687,0,0
2019-11-28 09:33:00+05:30,608.25,608.25,608.0,608.0,1082,0,0
2019-11-28 09:34:00+05:30,608.0,608.1,607.9,608.1,2189,0,0
2019-11-28 09:35:00+05:30,608.1,608.1,607.7,608.0,1754,0,0
2019-11-28 09:36:00+05:30,608.0,608.05,607.7,608.0,492,0,0
2019-11-28 09:37:00+05:30,607.9,607.9,607.05,607.25,4457,0,0
2019-11-28 09:38:00+05:30,607.25,607.6,606.45,606.85,3142,0,0
2019-11-28 09:39:00+05:30,606.5,606.85,606.25,606.25,1414,0,0
2019-11-28 09:40:00+05:30,606.35,606.35,605.4,605.7,6273,0,0
2019-11-28 09:41:00+05:30,605.85,605.9,605.6,605.85,4400,0,0
2019-11-28 09:42:00+05:30,605.85,606.0,605.5,606.0,1702,0,0
2019-11-28 09:43:00+05:30,605.65,605.9,604.2,604.65,7189,0,0
2019-11-28 09:44:00+05:30,604.65,605.0,604.5,604.7,3572,0,0
2019-11-28 09:45:00+05:30,604.3,605.0,604.3,604.55,2818,0,0
2019-11-28 09:46:00+05:30,604.65,604.9,604.5,604.6,2634,0,0
2019-11-28 09:47:00+05:30,604.6,605.1,604.5,604.65,1820,0,0
2019-11-28 09:48:00+05:30,604.65,605.0,604.5,604.5,1054,0,0
2019-11-28 09:49:00+05:30,604.5,604.7,604.4,604.4,1092,0,0
2019-11-28 09:50:00+05:30,604.35,604.7,604.0,604.2,3095,0,0
2019-11-28 09:51:00+05:30,604.05,604.3,604.0,604.3,918,0,0
2019-11-28 09:52:00+05:30,604.3,604.35,603.9,604.0,2250,0,0
2019-11-28 09:53:00+05:30,604.0,604.1,603.8,603.8,2315,0,0
2019-11-28 09:54:00+05:30,604.0,604.0,603.1,603.4,1652,0,0
2019-11-28 09:55:00+05:30,603.45,603.6,603.25,603.6,4535,0,0
2019-11-28 09:56:00+05:30,603.65,604.05,603.5,603.75,1380,0,0
2019-11-28 09:57:00+05:30,603.75,604.0,603.45,603.75,3492,0,0
2019-11-28 09:58:00+05:30,603.7,604.2,603.65,603.95,4069,0,0
2019-11-28 09:59:00+05:30,603.95,604.35,603.95,604.25,2355,0,0
2019-11-28 10:00:00+05:30,604.25,604.4,603.75,603.8,1806,0,0
2019-11-28 10:01:00+05:30,603.9,603.9,603.35,603.35,1064,0,0
2019-11-28 10:02:00+05:30,603.3,603.55,602.1,602.1,6439,0,0
2019-11-28 10:03:00+05:30,602.15,602.35,601.5,601.55,16955,0,0
2019-11-28 10:04:00+05:30,601.55,601.7,601.4,601.5,3960,0,0
2019-11-28 10:05:00+05:30,601.7,601.95,601.5,601.95,2314,0,0
2019-11-28 10:06:00+05:30,601.85,602.0,601.25,601.4,6784,0,0
2019-11-28 10:07:00+05:30,601.4,602.0,601.4,601.9,3449,0,0
2019-11-28 10:08:00+05:30,601.8,602.5,601.7,602.3,3999,0,0
2019-11-28 10:09:00+05:30,602.25,602.3,602.15,602.15,1854,0,0
2019-11-28 10:10:00+05:30,602.25,602.9,602.0,602.25,5967,0,0
2019-11-28 10:11:00+05:30,602.1,602.55,601.8,602.05,2552,0,0
2019-11-28 10:12:00+05:30,602.0,602.15,602.0,602.15,3849,0,0
2019-11-28 10:13:00+05:30,602.45,602.5,602.1,602.25,2003,0,0
2019-11-28 10:14:00+05:30,602.25,602.6,602.0,602.4,6290,0,0
2019-11-28 10:15:00+05:30,602.05,602.55,602.0,602.55,723,0,0
2019-11-28 10:16:00+05:30,602.5,602.7,602.05,602.3,5067,0,0
2019-11-28 10:17:00+05:30,602.3,602.45,602.05,602.15,416,0,0
2019-11-28 10:18:00+05:30,602.15,602.3,601.85,601.85,4027,0,0
2019-11-28 10:19:00+05:30,601.9,602.55,601.65,602.0,3761,0,0
2019-11-28 10:20:00+05:30,601.9,602.5,601.9,602.35,1575,0,0
2019-11-28 10:21:00+05:30,602.45,602.55,602.2,602.4,435,0,0
2019-11-28 10:22:00+05:30,602.3,602.55,601.85,602.1,7842,0,0
2019-11-28 10:23:00+05:30,601.8,602.1,601.8,602.0,425,0,0
2019-11-28 10:24:00+05:30,601.9,602.1,601.8,602.0,1054,0,0
2019-11-28 10:25:00+05:30,602.0,602.7,602.0,602.15,4871,0,0
2019-11-28 10:26:00+05:30,602.15,602.7,602.05,602.2,8412,0,0
2019-11-28 10:27:00+05:30,602.1,602.3,601.6,601.6,6499,0,0
2019-11-28 10:28:00+05:30,601.6,601.9,601.0,601.55,24917,0,0
2019-11-28 10:29:00+05:30,601.55,602.0,601.5,601.75,2321,0,0
2019-11-28 10:30:00+05:30,601.85,602.4,601.7,601.95,7674,0,0
2019-11-28 10:31:00+05:30,602.1,605.25,602.1,604.2,44063,0,0
2019-11-28 10:32:00+05:30,604.4,604.6,603.75,603.9,3732,0,0
2019-11-28 10:33:00+05:30,603.65,603.9,603.0,603.0,3537,0,0
2019-11-28 10:34:00+05:30,603.0,603.35,602.75,603.0,6009,0,0
2019-11-28 10:35:00+05:30,602.95,603.75,602.95,603.75,326,0,0
2019-11-28 10:36:00+05:30,603.55,605.0,603.45,604.45,11751,0,0
2019-11-28 10:37:00+05:30,604.35,605.1,603.95,604.7,13754,0,0
2019-11-28 10:38:00+05:30,604.7,605.0,604.5,604.9,1835,0,0
2019-11-28 10:39:00+05:30,604.9,605.1,604.9,605.0,1567,0,0
2019-11-28 10:40:00+05:30,605.05,605.1,604.35,604.55,7880,0,0
2019-11-28 10:41:00+05:30,604.5,605.0,604.0,604.25,10546,0,0
2019-11-28 10:42:00+05:30,604.65,605.25,604.65,604.65,6313,0,0
2019-11-28 10:43:00+05:30,604.65,605.1,604.65,604.8,15819,0,0
2019-11-28 10:44:00+05:30,604.8,605.2,604.5,604.8,18360,0,0
2019-11-28 10:45:00+05:30,604.9,605.0,604.8,604.9,128,0,0
