Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-29 09:15:00+05:30,510.0,512.95,510.0,511.2,0,0,0
2019-11-29 09:16:00+05:30,511.45,512.65,510.75,511.25,4321,0,0
2019-11-29 09:17:00+05:30,511.9,513.75,511.0,513.0,5117,0,0
2019-11-29 09:18:00+05:30,512.85,514.4,512.6,513.45,7918,0,0
2019-11-29 09:19:00+05:30,513.15,513.7,513.1,513.5,1769,0,0
2019-11-29 09:20:00+05:30,513.4,513.75,512.9,513.05,3273,0,0
2019-11-29 09:21:00+05:30,513.0,514.0,512.85,513.3,3036,0,0
2019-11-29 09:22:00+05:30,513.15,514.15,512.65,512.65,3790,0,0
2019-11-29 09:23:00+05:30,512.25,513.65,512.25,513.65,2393,0,0
2019-11-29 09:24:00+05:30,513.7,515.0,513.05,514.05,5219,0,0
2019-11-29 09:25:00+05:30,514.05,514.65,513.65,514.1,6398,0,0
2019-11-29 09:26:00+05:30,514.25,514.8,513.75,514.05,7472,0,0
2019-11-29 09:27:00+05:30,514.4,514.65,512.65,513.4,4019,0,0
2019-11-29 09:28:00+05:30,512.85,514.0,512.85,513.7,1184,0,0
2019-11-29 09:29:00+05:30,513.75,514.55,513.5,513.75,768,0,0
2019-11-29 09:30:00+05:30,513.15,514.05,513.05,513.35,3182,0,0
2019-11-29 09:31:00+05:30,513.35,513.35,513.1,513.35,1848,0,0
2019-11-29 09:32:00+05:30,513.35,513.35,512.2,512.45,3166,0,0
2019-11-29 09:33:00+05:30,512.25,512.9,512.2,512.5,890,0,0
2019-11-29 09:34:00+05:30,512.1,513.3,512.1,512.95,2372,0,0
2019-11-29 09:35:00+05:30,512.95,513.0,512.95,512.95,218,0,0
2019-11-29 09:36:00+05:30,512.95,512.95,512.3,512.35,1470,0,0
2019-11-29 09:37:00+05:30,512.6,513.0,512.4,512.5,1358,0,0
2019-11-29 09:38:00+05:30,512.45,513.35,512.45,513.0,1300,0,0
2019-11-29 09:39:00+05:30,513.35,513.8,513.05,513.7,537,0,0
2019-11-29 09:40:00+05:30,513.9,514.2,513.75,513.95,698,0,0
2019-11-29 09:41:00+05:30,513.95,515.2,513.95,515.2,7181,0,0
2019-11-29 09:42:00+05:30,515.0,516.5,514.7,516.0,12091,0,0
2019-11-29 09:43:00+05:30,516.0,516.9,516.0,516.8,6694,0,0
2019-11-29 09:44:00+05:30,517.0,517.0,516.05,516.45,6074,0,0
2019-11-29 09:45:00+05:30,516.05,516.05,514.4,515.0,11917,0,0
2019-11-29 09:46:00+05:30,514.9,514.9,514.15,514.6,2605,0,0
2019-11-29 09:47:00+05:30,514.6,515.5,514.6,514.9,6600,0,0
2019-11-29 09:48:00+05:30,514.85,514.9,514.05,514.9,6548,0,0
2019-11-29 09:49:00+05:30,514.8,514.9,513.35,513.35,3252,0,0
2019-11-29 09:50:00+05:30,513.3,513.3,512.5,513.05,7893,0,0
2019-11-29 09:51:00+05:30,513.0,513.05,513.0,513.0,442,0,0
2019-11-29 09:52:00+05:30,513.0,513.0,512.4,512.55,4072,0,0
2019-11-29 09:53:00+05:30,512.55,512.75,512.0,512.5,1572,0,0
2019-11-29 09:54:00+05:30,512.5,513.35,512.5,512.95,1989,0,0
2019-11-29 09:55:00+05:30,512.8,513.5,512.75,513.35,3030,0,0
2019-11-29 09:56:00+05:30,513.05,513.35,512.1,512.8,5211,0,0
2019-11-29 09:57:00+05:30,512.5,512.5,511.9,512.0,1349,0,0
2019-11-29 09:58:00+05:30,512.15,512.25,511.7,511.8,1099,0,0
2019-11-29 09:59:00+05:30,511.85,512.65,511.85,512.65,251,0,0
2019-11-29 10:00:00+05:30,512.7,512.7,512.1,512.2,2083,0,0
2019-11-29 10:01:00+05:30,512.2,513.0,512.2,512.3,1450,0,0
2019-11-29 10:02:00+05:30,512.3,512.5,512.25,512.3,684,0,0
2019-11-29 10:03:00+05:30,512.65,512.65,511.15,511.15,4525,0,0
2019-11-29 10:04:00+05:30,511.15,512.0,511.15,511.95,1863,0,0
2019-11-29 10:05:00+05:30,512.35,512.45,511.75,512.45,2047,0,0
2019-11-29 10:06:00+05:30,512.05,512.5,511.5,511.9,2575,0,0
2019-11-29 10:07:00+05:30,511.9,512.5,511.35,512.0,1059,0,0
2019-11-29 10:08:00+05:30,512.0,512.0,511.3,511.3,1277,0,0
2019-11-29 10:09:00+05:30,511.3,511.75,511.3,511.35,188,0,0
2019-11-29 10:10:00+05:30,511.25,511.7,511.2,511.7,768,0,0
2019-11-29 10:11:00+05:30,511.35,511.65,511.3,511.35,406,0,0
2019-11-29 10:12:00+05:30,511.35,511.65,511.05,511.25,369,0,0
2019-11-29 10:13:00+05:30,511.5,511.5,511.05,511.05,742,0,0
2019-11-29 10:14:00+05:30,511.15,511.5,511.1,511.15,287,0,0
2019-11-29 10:15:00+05:30,511.15,511.15,510.2,510.2,5544,0,0
2019-11-29 10:16:00+05:30,510.2,510.45,509.5,510.25,14229,0,0
2019-11-29 10:17:00+05:30,509.95,510.55,509.9,510.5,3287,0,0
2019-11-29 10:18:00+05:30,510.5,511.35,510.5,511.05,570,0,0
2019-11-29 10:19:00+05:30,510.75,510.8,510.25,510.65,2321,0,0
2019-11-29 10:20:00+05:30,510.85,510.85,510.55,510.7,153,0,0
2019-11-29 10:21:00+05:30,510.7,511.2,510.7,511.15,189,0,0
2019-11-29 10:22:00+05:30,511.15,511.2,511.15,511.2,61,0,0
2019-11-29 10:23:00+05:30,511.55,511.9,511.55,511.6,318,0,0
2019-11-29 10:24:00+05:30,511.6,511.85,511.25,511.7,1165,0,0
2019-11-29 10:25:00+05:30,511.9,511.95,511.55,511.95,369,0,0
2019-11-29 10:26:00+05:30,511.6,511.95,511.6,511.65,84,0,0
2019-11-29 10:27:00+05:30,511.55,511.55,511.5,511.5,2523,0,0
2019-11-29 10:28:00+05:30,511.3,511.3,511.2,511.25,1482,0,0
2019-11-29 10:29:00+05:30,511.3,511.7,511.3,511.3,126,0,0
2019-11-29 10:30:00+05:30,511.7,511.7,511.15,511.15,439,0,0
2019-11-29 10:31:00+05:30,511.15,511.3,511.05,511.05,398,0,0
2019-11-29 10:32:00+05:30,511.05,511.05,510.75,510.75,799,0,0
2019-11-29 10:33:00+05:30,510.55,510.55,510.55,510.55,268,0,0
2019-11-29 10:34:00+05:30,510.55,511.05,510.55,511.05,88,0,0
2019-11-29 10:36:00+05:30,512.0,512.6,511.95,512.35,5310,0,0
2019-11-29 10:37:00+05:30,512.0,512.4,511.75,512.4,1055,0,0
2019-11-29 10:38:00+05:30,512.55,512.55,512.25,512.25,118,0,0
2019-11-29 10:39:00+05:30,512.25,512.25,511.35,511.35,1659,0,0
2019-11-29 10:40:00+05:30,511.35,511.95,511.35,511.75,1670,0,0
2019-11-29 10:41:00+05:30,511.75,512.25,511.75,511.95,2026,0,0
2019-11-29 10:42:00+05:30,511.95,512.3,511.85,511.95,535,0,0
2019-11-29 10:43:00+05:30,511.95,511.95,511.55,511.55,340,0,0
2019-11-29 10:44:00+05:30,511.7,511.7,511.2,511.4,716,0,0
2019-11-29 10:45:00+05:30,511.1,512.0,511.05,512.0,1259,0,0
