Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-29 09:15:00+05:30,36.55,36.55,36.4,36.45,0,0,0
2019-11-29 09:16:00+05:30,36.45,36.65,36.45,36.65,197025,0,0
2019-11-29 09:17:00+05:30,36.7,36.8,36.6,36.65,125291,0,0
2019-11-29 09:18:00+05:30,36.65,36.8,36.65,36.7,103395,0,0
2019-11-29 09:19:00+05:30,36.75,36.95,36.7,36.85,131767,0,0
2019-11-29 09:20:00+05:30,36.9,36.95,36.8,36.9,153328,0,0
2019-11-29 09:21:00+05:30,36.8,36.95,36.8,36.9,147349,0,0
2019-11-29 09:22:00+05:30,36.85,36.9,36.8,36.85,37322,0,0
2019-11-29 09:23:00+05:30,36.85,37.25,36.85,37.25,371584,0,0
2019-11-29 09:24:00+05:30,37.15,37.25,37.15,37.2,175145,0,0
2019-11-29 09:25:00+05:30,37.2,37.3,37.2,37.3,200952,0,0
2019-11-29 09:26:00+05:30,37.3,37.3,37.15,37.25,101095,0,0
2019-11-29 09:27:00+05:30,37.2,37.4,37.2,37.4,220037,0,0
2019-11-29 09:28:00+05:30,37.35,37.5,37.3,37.3,240766,0,0
2019-11-29 09:29:00+05:30,37.4,37.4,37.3,37.35,87531,0,0
2019-11-29 09:30:00+05:30,37.35,37.4,37.2,37.35,117807,0,0
2019-11-29 09:31:00+05:30,37.3,37.35,37.3,37.3,32857,0,0
2019-11-29 09:32:00+05:30,37.3,37.35,37.25,37.25,43860,0,0
2019-11-29 09:33:00+05:30,37.3,37.4,37.25,37.35,89376,0,0
2019-11-29 09:34:00+05:30,37.4,37.7,37.4,37.65,372808,0,0
2019-11-29 09:35:00+05:30,37.6,37.8,37.5,37.7,218818,0,0
2019-11-29 09:36:00+05:30,37.7,37.75,37.65,37.7,106752,0,0
2019-11-29 09:37:00+05:30,37.7,37.75,37.6,37.6,48168,0,0
2019-11-29 09:38:00+05:30,37.6,37.75,37.55,37.65,191842,0,0
2019-11-29 09:39:00+05:30,37.7,37.85,37.65,37.8,140019,0,0
2019-11-29 09:40:00+05:30,37.85,37.9,37.7,37.8,108719,0,0
2019-11-29 09:41:00+05:30,37.75,37.75,37.7,37.7,52248,0,0
2019-11-29 09:42:00+05:30,37.7,37.9,37.6,37.9,113807,0,0
2019-11-29 09:43:00+05:30,37.9,37.9,37.75,37.9,122213,0,0
2019-11-29 09:44:00+05:30,37.85,37.9,37.8,37.8,91766,0,0
2019-11-29 09:45:00+05:30,37.85,37.95,37.75,37.8,169332,0,0
2019-11-29 09:46:00+05:30,37.75,37.85,37.75,37.75,80785,0,0
2019-11-29 09:47:00+05:30,37.8,37.85,37.75,37.8,125717,0,0
2019-11-29 09:48:00+05:30,37.85,37.95,37.8,37.9,94948,0,0
2019-11-29 09:49:00+05:30,37.85,37.9,37.75,37.85,63151,0,0
2019-11-29 09:50:00+05:30,37.85,37.9,37.75,37.8,52114,0,0
2019-11-29 09:51:00+05:30,37.75,37.85,37.7,37.8,89012,0,0
2019-11-29 09:52:00+05:30,37.85,37.95,37.8,37.9,116882,0,0
2019-11-29 09:53:00+05:30,37.9,38.15,37.9,38.1,397659,0,0
2019-11-29 09:54:00+05:30,38.1,38.15,38.05,38.1,107415,0,0
2019-11-29 09:55:00+05:30,38.1,38.1,38.0,38.05,122319,0,0
2019-11-29 09:56:00+05:30,38.0,38.25,38.0,38.25,310014,0,0
2019-11-29 09:57:00+05:30,38.2,38.5,38.2,38.5,444219,0,0
2019-11-29 09:58:00+05:30,38.45,38.45,38.3,38.3,165554,0,0
2019-11-29 09:59:00+05:30,38.35,38.35,38.2,38.2,154081,0,0
2019-11-29 10:00:00+05:30,38.2,38.2,38.05,38.05,88029,0,0
2019-11-29 10:01:00+05:30,38.05,38.15,38.05,38.15,124674,0,0
2019-11-29 10:02:00+05:30,38.15,38.2,38.1,38.2,48257,0,0
2019-11-29 10:03:00+05:30,38.15,38.3,38.15,38.25,127931,0,0
2019-11-29 10:04:00+05:30,38.25,38.25,38.15,38.2,59702,0,0
2019-11-29 10:05:00+05:30,38.15,38.3,38.15,38.25,140241,0,0
2019-11-29 10:06:00+05:30,38.25,38.35,38.25,38.25,65483,0,0
2019-11-29 10:07:00+05:30,38.25,38.4,38.25,38.4,56003,0,0
2019-11-29 10:08:00+05:30,38.35,38.45,38.3,38.4,106459,0,0
2019-11-29 10:09:00+05:30,38.4,38.45,38.3,38.35,83075,0,0
2019-11-29 10:10:00+05:30,38.3,38.4,38.3,38.3,78608,0,0
2019-11-29 10:11:00+05:30,38.3,38.35,38.25,38.25,55468,0,0
2019-11-29 10:12:00+05:30,38.25,38.3,38.2,38.3,70431,0,0
2019-11-29 10:13:00+05:30,38.2,38.25,38.2,38.2,31638,0,0
