Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-28 09:15:00+05:30,275.8,275.8,273.75,274.1,0,0,0
2019-11-28 09:16:00+05:30,273.9,274.2,273.8,274.0,5956,0,0
2019-11-28 09:17:00+05:30,273.9,273.9,273.05,273.1,6888,0,0
2019-11-28 09:18:00+05:30,273.4,273.65,273.2,273.55,2787,0,0
2019-11-28 09:19:00+05:30,273.55,274.0,273.5,273.8,5413,0,0
2019-11-28 09:20:00+05:30,273.7,274.2,273.7,274.05,3254,0,0
2019-11-28 09:21:00+05:30,274.0,274.0,273.75,273.8,1961,0,0
2019-11-28 09:22:00+05:30,273.8,274.35,273.75,274.3,6829,0,0
2019-11-28 09:23:00+05:30,274.35,274.4,274.1,274.3,2285,0,0
2019-11-28 09:24:00+05:30,274.3,274.5,274.1,274.5,1300,0,0
2019-11-28 09:25:00+05:30,274.5,274.7,274.45,274.5,3043,0,0
2019-11-28 09:26:00+05:30,274.5,274.55,273.8,274.0,5284,0,0
2019-11-28 09:27:00+05:30,274.2,274.4,274.15,274.2,566,0,0
2019-11-28 09:28:00+05:30,274.15,274.25,274.0,274.15,1977,0,0
2019-11-28 09:29:00+05:30,274.0,274.15,273.8,274.0,1796,0,0
2019-11-28 09:30:00+05:30,274.0,274.15,273.8,273.9,1997,0,0
2019-11-28 09:31:00+05:30,273.95,273.95,273.95,273.95,754,0,0
2019-11-28 09:32:00+05:30,273.95,274.3,273.95,274.15,1935,0,0
2019-11-28 09:33:00+05:30,274.15,274.35,274.1,274.15,946,0,0
2019-11-28 09:34:00+05:30,274.25,274.25,274.1,274.1,224,0,0
2019-11-28 09:35:00+05:30,274.1,274.1,273.95,274.0,1206,0,0
2019-11-28 09:36:00+05:30,273.95,274.1,273.95,274.0,481,0,0
2019-11-28 09:37:00+05:30,274.1,274.3,274.05,274.25,790,0,0
2019-11-28 09:38:00+05:30,274.25,274.3,274.1,274.15,983,0,0
2019-11-28 09:39:00+05:30,274.1,274.3,274.1,274.25,583,0,0
2019-11-28 09:40:00+05:30,274.1,274.1,273.9,274.05,2875,0,0
2019-11-28 09:41:00+05:30,274.0,274.0,273.8,274.0,1411,0,0
2019-11-28 09:42:00+05:30,274.0,274.1,273.85,274.1,1833,0,0
2019-11-28 09:43:00+05:30,274.15,274.15,273.85,274.05,3374,0,0
2019-11-28 09:44:00+05:30,273.75,273.95,273.7,273.8,1905,0,0
2019-11-28 09:45:00+05:30,273.8,273.9,273.8,273.85,1149,0,0
2019-11-28 09:46:00+05:30,273.9,273.95,273.85,273.95,1085,0,0
2019-11-28 09:47:00+05:30,273.85,273.95,273.7,273.85,1028,0,0
2019-11-28 09:48:00+05:30,273.8,274.05,273.75,273.85,1295,0,0
2019-11-28 09:49:00+05:30,273.85,274.05,273.85,274.05,887,0,0
2019-11-28 09:50:00+05:30,274.0,274.15,274.0,274.15,283,0,0
2019-11-28 09:51:00+05:30,274.0,274.2,274.0,274.2,273,0,0
2019-11-28 09:52:00+05:30,274.2,274.3,274.2,274.3,1034,0,0
2019-11-28 09:53:00+05:30,274.4,274.4,274.3,274.4,185,0,0
2019-11-28 09:54:00+05:30,274.4,274.55,274.3,274.3,409,0,0
2019-11-28 09:55:00+05:30,274.25,274.5,274.2,274.3,280,0,0
2019-11-28 09:56:00+05:30,274.25,274.45,274.2,274.45,692,0,0
2019-11-28 09:57:00+05:30,274.4,274.4,274.1,274.15,3177,0,0
2019-11-28 09:58:00+05:30,274.35,274.55,274.15,274.5,1271,0,0
2019-11-28 09:59:00+05:30,274.45,274.6,274.35,274.5,265,0,0
2019-11-28 10:00:00+05:30,274.5,274.5,274.45,274.45,325,0,0
2019-11-28 10:01:00+05:30,274.4,274.8,274.4,274.75,2295,0,0
2019-11-28 10:02:00+05:30,274.55,274.75,274.5,274.5,1501,0,0
2019-11-28 10:03:00+05:30,274.6,274.9,274.1,274.5,5470,0,0
2019-11-28 10:04:00+05:30,274.4,274.5,274.25,274.5,1770,0,0
2019-11-28 10:05:00+05:30,274.35,274.5,274.3,274.3,863,0,0
2019-11-28 10:06:00+05:30,274.3,274.4,274.1,274.1,464,0,0
2019-11-28 10:07:00+05:30,274.1,274.25,274.0,274.0,2164,0,0
2019-11-28 10:08:00+05:30,274.15,274.2,273.75,273.75,4499,0,0
2019-11-28 10:09:00+05:30,273.75,273.75,273.3,273.4,8241,0,0
2019-11-28 10:10:00+05:30,273.2,273.4,273.2,273.35,2056,0,0
2019-11-28 10:11:00+05:30,273.2,273.35,273.15,273.15,1065,0,0
2019-11-28 10:12:00+05:30,273.35,273.4,273.2,273.4,1972,0,0
2019-11-28 10:13:00+05:30,273.35,273.35,273.25,273.25,1509,0,0
2019-11-28 10:14:00+05:30,273.2,273.4,273.2,273.25,881,0,0
2019-11-28 10:15:00+05:30,273.4,273.4,273.15,273.2,3163,0,0
2019-11-28 10:16:00+05:30,273.15,273.3,272.9,272.9,8586,0,0
2019-11-28 10:17:00+05:30,272.95,273.3,272.95,273.3,2641,0,0
2019-11-28 10:18:00+05:30,273.25,273.35,273.15,273.35,506,0,0
2019-11-28 10:19:00+05:30,273.15,273.25,273.1,273.15,186,0,0
2019-11-28 10:20:00+05:30,273.3,273.35,273.1,273.15,1122,0,0
2019-11-28 10:21:00+05:30,273.2,273.25,273.15,273.2,1144,0,0
2019-11-28 10:22:00+05:30,273.2,273.25,273.15,273.25,57,0,0
2019-11-28 10:23:00+05:30,273.25,273.25,273.15,273.15,221,0,0
2019-11-28 10:24:00+05:30,273.15,273.15,272.9,272.95,1513,0,0
2019-11-28 10:25:00+05:30,272.9,273.05,272.85,273.05,822,0,0
2019-11-28 10:26:00+05:30,273.0,273.0,272.9,272.9,887,0,0
2019-11-28 10:27:00+05:30,273.0,273.0,272.8,272.85,947,0,0
2019-11-28 10:28:00+05:30,272.95,273.0,272.95,273.0,1034,0,0
2019-11-28 10:29:00+05:30,272.95,273.1,272.95,273.1,642,0,0
2019-11-28 10:30:00+05:30,273.0,273.05,272.85,272.9,414,0,0
2019-11-28 10:31:00+05:30,272.9,273.05,272.85,272.9,565,0,0
2019-11-28 10:32:00+05:30,272.95,273.05,272.9,272.95,255,0,0
2019-11-28 10:33:00+05:30,272.95,273.1,272.95,273.1,5185,0,0
2019-11-28 10:34:00+05:30,273.25,273.3,273.25,273.25,960,0,0
2019-11-28 10:35:00+05:30,273.3,273.35,273.1,273.1,1268,0,0
2019-11-28 10:36:00+05:30,273.3,273.3,273.1,273.1,221,0,0
2019-11-28 10:37:00+05:30,273.1,273.25,273.1,273.1,264,0,0
2019-11-28 10:38:00+05:30,273.25,273.25,273.1,273.1,846,0,0
2019-11-28 10:39:00+05:30,273.1,273.2,273.1,273.2,171,0,0
2019-11-28 10:40:00+05:30,273.3,273.35,273.15,273.35,315,0,0
2019-11-28 10:41:00+05:30,273.15,273.2,273.15,273.2,303,0,0
2019-11-28 10:42:00+05:30,273.3,273.35,273.15,273.35,419,0,0
2019-11-28 10:43:00+05:30,273.3,273.3,273.3,273.3,0,0,0
2019-11-28 10:44:00+05:30,273.4,273.4,273.2,273.2,745,0,0
2019-11-28 10:45:00+05:30,273.2,273.35,273.2,273.2,6107,0,0
2019-11-28 10:46:00+05:30,273.15,273.25,273.15,273.2,295,0,0
2019-11-28 10:47:00+05:30,273.2,273.35,273.2,273.25,261,0,0
2019-11-28 10:48:00+05:30,273.35,273.35,273.2,273.2,73,0,0
2019-11-28 10:49:00+05:30,273.2,273.35,273.2,273.35,74,0,0
2019-11-28 10:50:00+05:30,273.35,273.35,273.25,273.3,255,0,0
