Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-29 09:15:00+05:30,137.6,138.15,137.6,137.9,0,0,0
2019-11-29 09:16:00+05:30,137.85,138.05,137.75,137.9,12123,0,0
2019-11-29 09:17:00+05:30,137.8,138.2,137.8,138.0,19477,0,0
2019-11-29 09:18:00+05:30,138.1,138.1,137.9,137.9,4349,0,0
2019-11-29 09:19:00+05:30,138.1,138.15,137.8,137.95,12239,0,0
2019-11-29 09:20:00+05:30,138.0,138.25,137.7,138.05,12598,0,0
2019-11-29 09:21:00+05:30,138.25,138.25,138.1,138.15,15837,0,0
2019-11-29 09:22:00+05:30,138.15,138.25,138.05,138.1,3816,0,0
2019-11-29 09:23:00+05:30,138.0,138.4,138.0,138.25,13957,0,0
2019-11-29 09:24:00+05:30,138.25,138.3,138.15,138.25,1367,0,0
2019-11-29 09:25:00+05:30,138.25,138.25,138.05,138.1,3921,0,0
2019-11-29 09:26:00+05:30,138.1,138.2,138.1,138.15,4444,0,0
2019-11-29 09:27:00+05:30,138.15,138.2,138.0,138.2,5726,0,0
2019-11-29 09:28:00+05:30,138.15,138.4,138.1,138.4,2805,0,0
2019-11-29 09:29:00+05:30,138.45,138.5,138.25,138.4,4311,0,0
2019-11-29 09:30:00+05:30,138.4,138.4,138.0,138.0,3546,0,0
2019-11-29 09:31:00+05:30,138.05,138.1,138.0,138.0,20091,0,0
2019-11-29 09:32:00+05:30,138.0,138.15,138.0,138.1,4443,0,0
2019-11-29 09:33:00+05:30,138.1,138.35,138.0,138.35,23658,0,0
2019-11-29 09:34:00+05:30,138.35,138.35,138.1,138.1,2077,0,0
2019-11-29 09:35:00+05:30,138.1,138.15,138.0,138.15,1628,0,0
2019-11-29 09:36:00+05:30,138.0,138.2,138.0,138.15,2374,0,0
2019-11-29 09:37:00+05:30,138.15,138.4,138.15,138.25,1674,0,0
2019-11-29 09:38:00+05:30,138.3,138.5,138.3,138.5,3867,0,0
2019-11-29 09:39:00+05:30,138.5,138.7,138.25,138.25,35573,0,0
2019-11-29 09:40:00+05:30,138.25,138.55,138.25,138.5,2351,0,0
2019-11-29 09:41:00+05:30,138.5,138.5,138.35,138.4,8071,0,0
2019-11-29 09:42:00+05:30,138.45,138.6,138.45,138.5,2812,0,0
2019-11-29 09:43:00+05:30,138.45,138.45,138.25,138.35,9321,0,0
2019-11-29 09:44:00+05:30,138.35,138.45,138.35,138.45,2026,0,0
2019-11-29 09:45:00+05:30,138.45,138.45,138.3,138.35,3849,0,0
2019-11-29 09:46:00+05:30,138.35,138.4,138.25,138.25,1926,0,0
2019-11-29 09:47:00+05:30,138.45,138.55,138.35,138.45,7955,0,0
2019-11-29 09:48:00+05:30,138.45,138.45,138.2,138.2,6542,0,0
2019-11-29 09:49:00+05:30,138.2,138.2,138.05,138.05,5602,0,0
2019-11-29 09:50:00+05:30,138.1,138.1,138.05,138.05,311,0,0
2019-11-29 09:51:00+05:30,138.1,138.2,138.05,138.1,10462,0,0
2019-11-29 09:52:00+05:30,138.1,138.35,138.1,138.3,3142,0,0
2019-11-29 09:53:00+05:30,138.35,138.4,138.3,138.35,1918,0,0
2019-11-29 09:54:00+05:30,138.4,138.45,138.3,138.3,2176,0,0
2019-11-29 09:55:00+05:30,138.3,138.5,138.3,138.45,7335,0,0
2019-11-29 09:56:00+05:30,138.3,138.4,138.3,138.3,893,0,0
2019-11-29 09:57:00+05:30,138.4,138.4,138.3,138.3,3711,0,0
2019-11-29 09:58:00+05:30,138.35,138.4,138.25,138.35,1718,0,0
2019-11-29 09:59:00+05:30,138.4,138.4,138.25,138.4,112862,0,0
2019-11-29 10:00:00+05:30,138.5,138.65,138.2,138.2,39847,0,0
2019-11-29 10:01:00+05:30,138.2,138.2,138.05,138.1,15684,0,0
2019-11-29 10:02:00+05:30,138.1,138.3,138.1,138.1,23123,0,0
2019-11-29 10:03:00+05:30,138.15,138.3,138.15,138.25,8701,0,0
2019-11-29 10:04:00+05:30,138.3,138.4,138.25,138.4,16452,0,0
2019-11-29 10:05:00+05:30,138.3,138.45,138.1,138.4,16559,0,0
2019-11-29 10:06:00+05:30,138.45,138.95,138.4,138.75,25079,0,0
2019-11-29 10:07:00+05:30,138.75,138.9,138.75,138.85,2309,0,0
2019-11-29 10:08:00+05:30,138.8,138.85,138.65,138.65,6758,0,0
2019-11-29 10:09:00+05:30,138.7,138.7,138.3,138.4,30370,0,0
2019-11-29 10:10:00+05:30,138.4,138.5,138.25,138.25,25910,0,0
2019-11-29 10:11:00+05:30,138.2,138.4,138.15,138.4,4356,0,0
2019-11-29 10:12:00+05:30,138.25,138.4,138.2,138.3,84921,0,0
2019-11-29 10:13:00+05:30,138.25,138.3,138.1,138.2,5057,0,0
2019-11-29 10:14:00+05:30,138.2,138.25,138.15,138.2,1379,0,0
2019-11-29 10:15:00+05:30,138.1,138.15,138.1,138.1,6414,0,0
2019-11-29 10:16:00+05:30,138.15,138.15,138.1,138.1,2354,0,0
2019-11-29 10:17:00+05:30,138.1,138.2,138.1,138.1,1386,0,0
2019-11-29 10:18:00+05:30,138.1,138.25,138.1,138.25,2225,0,0
2019-11-29 10:19:00+05:30,138.25,138.25,138.15,138.15,389,0,0
2019-11-29 10:20:00+05:30,138.0,138.1,138.0,138.05,41045,0,0
2019-11-29 10:21:00+05:30,138.1,138.1,138.0,138.0,22635,0,0
2019-11-29 10:22:00+05:30,138.0,138.1,138.0,138.1,508,0,0
2019-11-29 10:23:00+05:30,138.15,138.35,138.15,138.25,8492,0,0
2019-11-29 10:24:00+05:30,138.3,138.4,138.3,138.3,4721,0,0
2019-11-29 10:25:00+05:30,138.4,138.4,138.25,138.3,7141,0,0
2019-11-29 10:26:00+05:30,138.25,138.25,138.1,138.1,832,0,0
2019-11-29 10:27:00+05:30,138.1,138.2,138.0,138.15,3976,0,0
2019-11-29 10:28:00+05:30,138.1,138.15,138.05,138.15,469,0,0
2019-11-29 10:29:00+05:30,138.1,138.15,138.05,138.05,1245,0,0
2019-11-29 10:30:00+05:30,138.05,138.15,138.0,138.05,60967,0,0
2019-11-29 10:31:00+05:30,138.05,138.2,138.05,138.2,0,0,0
2019-11-29 10:32:00+05:30,138.15,138.15,138.1,138.1,0,0,0
2019-11-29 10:33:00+05:30,138.1,138.1,138.1,138.1,294,0,0
2019-11-29 10:34:00+05:30,138.15,138.75,138.1,138.6,26572,0,0
2019-11-29 10:35:00+05:30,138.7,138.7,138.5,138.5,21656,0,0
2019-11-29 10:36:00+05:30,138.6,138.7,138.6,138.7,11675,0,0
2019-11-29 10:37:00+05:30,138.65,138.65,138.5,138.55,3669,0,0
2019-11-29 10:38:00+05:30,138.55,138.6,138.5,138.6,889,0,0
2019-11-29 10:39:00+05:30,138.5,138.65,138.5,138.65,4084,0,0
2019-11-29 10:40:00+05:30,138.65,138.65,138.35,138.45,1851,0,0
2019-11-29 10:41:00+05:30,138.4,138.45,138.35,138.45,5858,0,0
2019-11-29 10:42:00+05:30,138.45,138.45,138.35,138.35,9644,0,0
2019-11-29 10:43:00+05:30,138.35,138.5,138.35,138.35,6120,0,0
2019-11-29 10:44:00+05:30,138.35,138.5,138.25,138.3,5250,0,0
2019-11-29 10:45:00+05:30,138.25,138.3,138.1,138.3,2841,0,0
2019-11-29 10:46:00+05:30,138.4,138.5,138.4,138.4,478,0,0
2019-11-29 10:47:00+05:30,138.4,138.4,138.25,138.3,2210,0,0
2019-11-29 10:48:00+05:30,138.25,138.25,138.2,138.25,114,0,0
2019-11-29 10:49:00+05:30,138.25,138.35,138.25,138.25,2077,0,0
2019-11-29 10:50:00+05:30,138.15,138.2,138.1,138.2,774,0,0
2019-11-29 10:51:00+05:30,138.1,138.1,138.1,138.1,2700,0,0
2019-11-29 10:52:00+05:30,138.1,138.2,138.1,138.2,228,0,0
2019-11-29 10:53:00+05:30,138.05,138.25,138.05,138.25,6605,0,0
2019-11-29 10:54:00+05:30,138.3,138.3,137.8,138.2,244037,0,0
2019-11-29 10:55:00+05:30,138.3,138.6,138.3,138.55,15800,0,0
2019-11-29 10:56:00+05:30,138.6,138.6,138.5,138.5,36784,0,0
2019-11-29 10:57:00+05:30,138.55,138.55,138.35,138.45,1593,0,0
2019-11-29 10:58:00+05:30,138.35,138.35,138.25,138.25,2748,0,0
2019-11-29 10:59:00+05:30,138.15,138.3,138.15,138.3,6778,0,0
2019-11-29 11:00:00+05:30,138.25,138.25,138.15,138.15,2550,0,0
2019-11-29 11:01:00+05:30,138.15,138.25,138.15,138.25,4310,0,0
2019-11-29 11:02:00+05:30,138.1,138.1,137.95,137.95,6491,0,0
2019-11-29 11:03:00+05:30,138.0,138.1,138.0,138.0,2192,0,0
2019-11-29 11:04:00+05:30,138.05,138.05,137.6,137.6,13567,0,0
2019-11-29 11:05:00+05:30,137.6,137.65,137.45,137.5,34656,0,0
2019-11-29 11:06:00+05:30,137.5,137.5,137.15,137.4,8239,0,0
2019-11-29 11:07:00+05:30,137.3,137.45,137.25,137.25,6954,0,0
2019-11-29 11:08:00+05:30,137.35,137.4,137.3,137.3,5265,0,0
2019-11-29 11:09:00+05:30,137.3,137.3,137.25,137.25,1824,0,0
2019-11-29 11:10:00+05:30,137.3,137.3,137.25,137.3,1523,0,0
2019-11-29 11:11:00+05:30,137.3,137.3,137.25,137.3,2636,0,0
2019-11-29 11:12:00+05:30,137.35,137.35,137.2,137.25,6311,0,0
2019-11-29 11:13:00+05:30,137.25,137.3,137.2,137.3,0,0,0
2019-11-29 11:14:00+05:30,137.35,137.5,137.35,137.35,3013,0,0
2019-11-29 11:15:00+05:30,137.3,137.4,137.25,137.35,1482,0,0
2019-11-29 11:16:00+05:30,137.3,137.3,137.2,137.2,2554,0,0
2019-11-29 11:17:00+05:30,137.3,137.5,137.3,137.45,14125,0,0
2019-11-29 11:18:00+05:30,137.3,137.5,137.3,137.5,6279,0,0
2019-11-29 11:19:00+05:30,137.55,137.6,137.45,137.45,1346,0,0
2019-11-29 11:20:00+05:30,137.45,137.55,137.3,137.3,4525,0,0
2019-11-29 11:21:00+05:30,137.15,137.3,137.15,137.2,3804,0,0
2019-11-29 11:22:00+05:30,137.2,137.3,137.15,137.3,866,0,0
