Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-29 09:15:00+05:30,72.95,73.35,72.8,72.85,0,0,0
2019-11-29 09:16:00+05:30,72.9,73.0,72.85,72.85,40167,0,0
2019-11-29 09:17:00+05:30,72.85,72.9,72.7,72.85,41452,0,0
2019-11-29 09:18:00+05:30,72.75,72.9,72.7,72.85,16872,0,0
2019-11-29 09:19:00+05:30,72.9,73.0,72.8,73.0,19746,0,0
2019-11-29 09:20:00+05:30,73.0,73.2,72.9,73.2,34703,0,0
2019-11-29 09:21:00+05:30,73.25,73.5,73.2,73.5,14959,0,0
2019-11-29 09:22:00+05:30,73.45,73.45,73.3,73.4,12865,0,0
2019-11-29 09:23:00+05:30,73.35,73.4,73.2,73.4,21636,0,0
2019-11-29 09:24:00+05:30,73.4,73.55,73.3,73.55,18605,0,0
2019-11-29 09:25:00+05:30,73.45,73.55,73.4,73.45,8970,0,0
2019-11-29 09:26:00+05:30,73.35,73.55,73.35,73.5,24454,0,0
2019-11-29 09:27:00+05:30,73.5,73.6,73.45,73.5,22516,0,0
2019-11-29 09:28:00+05:30,73.55,73.55,73.4,73.5,19874,0,0
2019-11-29 09:29:00+05:30,73.5,73.55,73.3,73.35,13377,0,0
2019-11-29 09:30:00+05:30,73.3,73.35,73.1,73.15,15232,0,0
2019-11-29 09:31:00+05:30,73.15,73.3,73.1,73.25,19952,0,0
2019-11-29 09:32:00+05:30,73.25,73.35,73.25,73.3,17468,0,0
2019-11-29 09:33:00+05:30,73.25,73.3,73.2,73.2,4056,0,0
2019-11-29 09:34:00+05:30,73.2,73.3,73.2,73.25,11692,0,0
2019-11-29 09:35:00+05:30,73.25,73.4,73.2,73.4,19469,0,0
2019-11-29 09:36:00+05:30,73.3,73.45,73.3,73.45,3493,0,0
2019-11-29 09:37:00+05:30,73.45,73.5,73.4,73.5,2691,0,0
2019-11-29 09:38:00+05:30,73.5,73.6,73.5,73.6,8660,0,0
2019-11-29 09:39:00+05:30,73.55,73.7,73.5,73.6,9179,0,0
2019-11-29 09:40:00+05:30,73.6,73.6,73.55,73.6,2141,0,0
2019-11-29 09:41:00+05:30,73.6,73.9,73.55,73.85,55740,0,0
2019-11-29 09:42:00+05:30,74.0,74.0,73.75,73.9,24951,0,0
