Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-29 09:15:00+05:30,56.9,57.1,56.9,57.0,0,0,0
2019-11-29 09:16:00+05:30,56.9,57.0,56.55,56.75,149003,0,0
2019-11-29 09:17:00+05:30,56.75,56.95,56.7,56.85,51885,0,0
2019-11-29 09:18:00+05:30,56.9,57.0,56.8,56.95,56400,0,0
2019-11-29 09:19:00+05:30,56.85,57.0,56.85,57.0,30062,0,0
2019-11-29 09:20:00+05:30,56.9,57.0,56.8,56.95,41075,0,0
2019-11-29 09:21:00+05:30,56.85,56.9,56.75,56.9,46101,0,0
2019-11-29 09:22:00+05:30,56.85,56.9,56.85,56.9,21685,0,0
2019-11-29 09:23:00+05:30,56.85,57.0,56.85,56.95,33033,0,0
2019-11-29 09:24:00+05:30,56.95,57.15,56.95,57.1,68444,0,0
2019-11-29 09:25:00+05:30,57.15,57.15,56.95,57.0,38782,0,0
2019-11-29 09:26:00+05:30,57.05,57.05,56.9,56.95,12382,0,0
2019-11-29 09:27:00+05:30,56.95,57.05,56.95,57.05,25519,0,0
2019-11-29 09:28:00+05:30,57.0,57.15,57.0,57.1,37318,0,0
2019-11-29 09:29:00+05:30,57.1,57.15,57.05,57.1,20073,0,0
2019-11-29 09:30:00+05:30,57.1,57.1,57.0,57.0,52503,0,0
2019-11-29 09:31:00+05:30,57.0,57.2,57.0,57.15,87744,0,0
2019-11-29 09:32:00+05:30,57.15,57.3,57.1,57.2,232292,0,0
2019-11-29 09:33:00+05:30,57.15,57.25,57.15,57.25,52388,0,0
2019-11-29 09:34:00+05:30,57.15,57.25,57.15,57.15,52868,0,0
2019-11-29 09:35:00+05:30,57.15,57.2,57.15,57.15,11579,0,0
2019-11-29 09:36:00+05:30,57.15,57.25,57.15,57.15,34943,0,0
2019-11-29 09:37:00+05:30,57.15,57.2,57.15,57.15,33204,0,0
2019-11-29 09:38:00+05:30,57.15,57.4,57.15,57.35,80640,0,0
2019-11-29 09:39:00+05:30,57.25,57.45,57.25,57.4,69148,0,0
2019-11-29 09:40:00+05:30,57.4,57.6,57.4,57.4,169291,0,0
