Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-28 09:15:00+05:30,325.5,327.3,325.4,327.3,0,0,0
2019-11-28 09:16:00+05:30,326.85,327.45,325.8,326.4,84848,0,0
2019-11-28 09:17:00+05:30,326.4,327.0,325.25,325.55,69594,0,0
2019-11-28 09:18:00+05:30,325.5,325.85,323.55,325.0,82961,0,0
2019-11-28 09:19:00+05:30,325.15,326.3,324.6,326.15,47791,0,0
2019-11-28 09:20:00+05:30,326.25,326.85,326.0,326.8,41658,0,0
2019-11-28 09:21:00+05:30,326.2,326.9,325.6,325.6,27699,0,0
2019-11-28 09:22:00+05:30,325.7,325.85,324.0,324.0,34811,0,0
2019-11-28 09:23:00+05:30,324.0,325.7,324.0,325.1,34767,0,0
2019-11-28 09:24:00+05:30,325.1,325.4,325.0,325.25,10752,0,0
2019-11-28 09:25:00+05:30,325.35,325.55,325.2,325.45,7792,0,0
2019-11-28 09:26:00+05:30,325.35,325.35,324.45,324.7,21075,0,0
2019-11-28 09:27:00+05:30,324.6,324.7,324.05,324.25,12205,0,0
2019-11-28 09:28:00+05:30,324.2,324.3,323.7,324.0,30665,0,0
2019-11-28 09:29:00+05:30,324.2,324.3,323.8,323.95,12683,0,0
2019-11-28 09:30:00+05:30,324.0,324.65,323.7,324.1,16851,0,0
2019-11-28 09:31:00+05:30,324.3,324.45,324.05,324.05,5149,0,0
2019-11-28 09:32:00+05:30,324.2,324.25,323.85,324.0,15780,0,0
2019-11-28 09:33:00+05:30,323.95,324.0,323.5,323.5,16834,0,0
2019-11-28 09:34:00+05:30,323.5,323.95,323.5,323.8,9291,0,0
2019-11-28 09:35:00+05:30,323.95,324.0,323.65,323.8,5142,0,0
2019-11-28 09:36:00+05:30,323.8,324.45,323.6,324.25,25247,0,0
2019-11-28 09:37:00+05:30,324.45,324.65,324.35,324.4,2759,0,0
2019-11-28 09:38:00+05:30,324.35,325.35,324.35,325.3,14174,0,0
2019-11-28 09:39:00+05:30,325.35,325.55,325.2,325.4,7427,0,0
