Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-28 09:15:00+05:30,59.35,59.35,59.1,59.2,0,0,0
2019-11-28 09:16:00+05:30,59.2,59.2,59.0,59.05,113857,0,0
2019-11-28 09:17:00+05:30,59.0,59.05,58.95,58.95,48378,0,0
2019-11-28 09:18:00+05:30,58.9,58.95,58.8,58.85,79677,0,0
2019-11-28 09:19:00+05:30,58.9,58.95,58.85,58.85,58432,0,0
2019-11-28 09:20:00+05:30,58.9,59.05,58.85,59.05,91848,0,0
2019-11-28 09:21:00+05:30,59.0,59.1,58.95,59.1,23707,0,0
2019-11-28 09:22:00+05:30,59.05,59.25,59.05,59.15,68070,0,0
2019-11-28 09:23:00+05:30,59.2,59.3,59.15,59.25,118181,0,0
2019-11-28 09:24:00+05:30,59.2,59.4,59.15,59.35,123112,0,0
2019-11-28 09:25:00+05:30,59.35,59.4,59.15,59.2,44350,0,0
2019-11-28 09:26:00+05:30,59.1,59.2,59.1,59.15,46599,0,0
2019-11-28 09:27:00+05:30,59.2,59.25,59.15,59.15,28052,0,0
2019-11-28 09:28:00+05:30,59.2,59.35,59.1,59.2,117175,0,0
2019-11-28 09:29:00+05:30,59.2,59.3,59.2,59.3,24252,0,0
2019-11-28 09:30:00+05:30,59.3,59.55,59.25,59.45,284086,0,0
2019-11-28 09:31:00+05:30,59.5,59.55,59.4,59.45,49696,0,0
2019-11-28 09:32:00+05:30,59.45,59.6,59.45,59.55,70882,0,0
2019-11-28 09:33:00+05:30,59.55,59.6,59.45,59.6,59272,0,0
2019-11-28 09:34:00+05:30,59.55,59.7,59.55,59.65,141522,0,0
2019-11-28 09:35:00+05:30,59.7,59.85,59.6,59.75,244173,0,0
2019-11-28 09:36:00+05:30,59.75,59.85,59.75,59.75,97449,0,0
2019-11-28 09:37:00+05:30,59.75,60.0,59.75,60.0,243064,0,0
2019-11-28 09:38:00+05:30,59.95,60.0,59.8,60.0,175844,0,0
2019-11-28 09:39:00+05:30,59.9,60.0,59.8,59.9,101269,0,0
2019-11-28 09:40:00+05:30,59.85,59.95,59.85,59.9,52748,0,0
2019-11-28 09:41:00+05:30,59.9,60.0,59.85,59.85,160081,0,0
2019-11-28 09:42:00+05:30,59.9,59.95,59.8,59.95,62296,0,0
2019-11-28 09:43:00+05:30,59.8,60.35,59.8,60.3,451551,0,0
2019-11-28 09:44:00+05:30,60.25,60.35,60.15,60.35,211495,0,0
2019-11-28 09:45:00+05:30,60.35,60.35,60.25,60.3,95038,0,0
2019-11-28 09:46:00+05:30,60.25,60.3,60.15,60.2,101366,0,0
2019-11-28 09:47:00+05:30,60.15,60.15,60.05,60.15,101518,0,0
2019-11-28 09:48:00+05:30,60.1,60.2,60.1,60.15,52889,0,0
2019-11-28 09:49:00+05:30,60.25,60.3,60.15,60.25,80124,0,0
2019-11-28 09:50:00+05:30,60.2,60.35,60.2,60.25,102595,0,0
2019-11-28 09:51:00+05:30,60.25,60.4,60.25,60.35,87207,0,0
2019-11-28 09:52:00+05:30,60.35,60.5,60.35,60.5,97524,0,0
2019-11-28 09:53:00+05:30,60.5,60.55,60.45,60.5,90318,0,0
2019-11-28 09:54:00+05:30,60.55,60.6,60.5,60.6,73921,0,0
2019-11-28 09:55:00+05:30,60.6,60.6,60.5,60.5,97160,0,0
2019-11-28 09:56:00+05:30,60.5,60.5,60.3,60.45,167938,0,0
2019-11-28 09:57:00+05:30,60.5,60.5,60.35,60.35,54211,0,0
2019-11-28 09:58:00+05:30,60.35,60.4,60.25,60.35,56454,0,0
2019-11-28 09:59:00+05:30,60.3,60.4,60.3,60.3,47240,0,0
2019-11-28 10:00:00+05:30,60.4,60.5,60.3,60.45,61000,0,0
2019-11-28 10:01:00+05:30,60.45,60.6,60.45,60.55,59094,0,0
2019-11-28 10:02:00+05:30,60.55,60.8,60.5,60.65,220897,0,0
2019-11-28 10:03:00+05:30,60.65,60.75,60.6,60.7,76740,0,0
2019-11-28 10:04:00+05:30,60.65,60.8,60.65,60.75,109780,0,0
2019-11-28 10:05:00+05:30,60.75,60.95,60.75,60.95,183001,0,0
2019-11-28 10:06:00+05:30,61.0,61.1,60.9,61.1,203357,0,0
2019-11-28 10:07:00+05:30,61.05,61.15,60.9,60.95,139195,0,0
2019-11-28 10:08:00+05:30,60.85,61.2,60.85,61.15,225657,0,0
2019-11-28 10:09:00+05:30,61.1,61.2,61.1,61.15,102315,0,0
2019-11-28 10:10:00+05:30,61.1,61.45,61.1,61.4,370422,0,0
2019-11-28 10:11:00+05:30,61.4,61.65,61.35,61.4,325643,0,0
2019-11-28 10:12:00+05:30,61.4,61.45,61.35,61.35,71716,0,0
2019-11-28 10:13:00+05:30,61.35,61.4,61.2,61.3,125926,0,0
2019-11-28 10:14:00+05:30,61.2,61.3,61.2,61.3,81098,0,0
2019-11-28 10:15:00+05:30,61.25,61.4,61.25,61.35,59399,0,0
2019-11-28 10:16:00+05:30,61.4,61.4,61.35,61.4,78609,0,0
2019-11-28 10:17:00+05:30,61.35,61.5,61.35,61.5,83302,0,0
2019-11-28 10:18:00+05:30,61.5,61.5,61.4,61.4,65227,0,0
2019-11-28 10:19:00+05:30,61.45,61.45,61.25,61.35,77219,0,0
2019-11-28 10:20:00+05:30,61.35,61.35,61.15,61.2,140174,0,0
2019-11-28 10:21:00+05:30,61.15,61.2,61.0,61.0,237638,0,0
2019-11-28 10:22:00+05:30,61.0,61.05,60.95,61.05,90392,0,0
2019-11-28 10:23:00+05:30,60.95,61.05,60.9,60.95,113330,0,0
2019-11-28 10:24:00+05:30,60.9,61.1,60.9,61.0,120501,0,0
2019-11-28 10:25:00+05:30,61.05,61.05,61.0,61.05,41121,0,0
2019-11-28 10:26:00+05:30,61.05,61.15,61.0,61.15,39357,0,0
2019-11-28 10:27:00+05:30,61.1,61.15,60.95,61.0,96033,0,0
2019-11-28 10:28:00+05:30,60.95,61.1,60.95,61.05,72995,0,0
2019-11-28 10:29:00+05:30,61.05,61.15,61.0,61.1,38364,0,0
2019-11-28 10:30:00+05:30,61.1,61.15,61.05,61.05,20496,0,0
2019-11-28 10:31:00+05:30,61.05,61.1,60.95,60.95,61565,0,0
2019-11-28 10:32:00+05:30,61.0,61.1,60.95,61.0,90371,0,0
2019-11-28 10:33:00+05:30,61.0,61.1,61.0,61.05,36029,0,0
2019-11-28 10:34:00+05:30,61.0,61.05,60.95,61.05,41455,0,0
2019-11-28 10:35:00+05:30,61.0,61.05,61.0,61.05,12844,0,0
2019-11-28 10:36:00+05:30,60.95,61.0,60.9,60.9,81916,0,0
2019-11-28 10:37:00+05:30,60.9,60.95,60.85,60.9,25372,0,0
2019-11-28 10:38:00+05:30,60.9,60.95,60.9,60.95,18198,0,0
2019-11-28 10:39:00+05:30,60.9,60.95,60.9,60.9,15963,0,0
2019-11-28 10:40:00+05:30,60.9,61.0,60.9,61.0,70784,0,0
2019-11-28 10:41:00+05:30,61.05,61.1,61.0,61.05,30729,0,0
2019-11-28 10:42:00+05:30,61.0,61.1,61.0,61.05,14285,0,0
2019-11-28 10:43:00+05:30,61.0,61.05,61.0,61.0,8902,0,0
2019-11-28 10:44:00+05:30,61.0,61.1,61.0,61.05,30571,0,0
2019-11-28 10:45:00+05:30,61.0,61.05,61.0,61.05,8054,0,0
2019-11-28 10:46:00+05:30,61.0,61.05,61.0,61.05,16690,0,0
2019-11-28 10:47:00+05:30,61.05,61.05,61.0,61.05,9350,0,0
2019-11-28 10:48:00+05:30,61.05,61.25,61.0,61.2,117933,0,0
2019-11-28 10:49:00+05:30,61.25,61.25,61.15,61.25,44321,0,0
2019-11-28 10:50:00+05:30,61.25,61.25,61.2,61.2,21231,0,0
2019-11-28 10:51:00+05:30,61.2,61.25,61.15,61.15,7277,0,0
2019-11-28 10:52:00+05:30,61.15,61.2,61.1,61.15,29858,0,0
2019-11-28 10:53:00+05:30,61.15,61.2,61.15,61.2,26084,0,0
2019-11-28 10:54:00+05:30,61.15,61.2,61.1,61.2,10134,0,0
2019-11-28 10:55:00+05:30,61.15,61.2,61.15,61.2,24565,0,0
2019-11-28 10:56:00+05:30,61.2,61.2,61.15,61.2,8094,0,0
2019-11-28 10:57:00+05:30,61.15,61.25,61.15,61.25,65388,0,0
2019-11-28 10:58:00+05:30,61.25,61.25,61.2,61.25,14472,0,0
2019-11-28 10:59:00+05:30,61.2,61.4,61.2,61.3,110387,0,0
2019-11-28 11:00:00+05:30,61.35,61.4,61.35,61.4,53624,0,0
2019-11-28 11:01:00+05:30,61.35,61.4,61.2,61.25,107230,0,0
2019-11-28 11:02:00+05:30,61.25,61.3,61.2,61.25,30776,0,0
2019-11-28 11:03:00+05:30,61.25,61.25,61.2,61.25,23029,0,0
2019-11-28 11:04:00+05:30,61.25,61.25,61.2,61.2,6619,0,0
2019-11-28 11:05:00+05:30,61.2,61.25,61.2,61.2,9160,0,0
2019-11-28 11:06:00+05:30,61.2,61.25,61.2,61.2,14366,0,0
2019-11-28 11:07:00+05:30,61.2,61.25,61.15,61.15,13409,0,0
2019-11-28 11:08:00+05:30,61.2,61.2,61.15,61.2,85824,0,0
2019-11-28 11:09:00+05:30,61.15,61.35,61.15,61.3,110277,0,0
2019-11-28 11:10:00+05:30,61.3,61.3,61.1,61.1,86725,0,0
2019-11-28 11:11:00+05:30,61.15,61.2,61.1,61.2,26652,0,0
2019-11-28 11:12:00+05:30,61.2,61.3,61.2,61.25,24645,0,0
2019-11-28 11:13:00+05:30,61.25,61.3,61.2,61.3,13177,0,0
2019-11-28 11:14:00+05:30,61.25,61.35,61.25,61.35,84752,0,0
2019-11-28 11:15:00+05:30,61.4,61.4,61.35,61.35,19828,0,0
2019-11-28 11:16:00+05:30,61.4,61.85,61.35,61.85,413955,0,0
2019-11-28 11:17:00+05:30,61.85,62.1,61.8,61.9,340819,0,0
2019-11-28 11:18:00+05:30,61.95,62.0,61.8,61.8,86487,0,0
2019-11-28 11:19:00+05:30,61.8,61.85,61.8,61.85,106071,0,0
2019-11-28 11:20:00+05:30,61.85,61.9,61.8,61.85,115145,0,0
2019-11-28 11:21:00+05:30,61.85,61.9,61.85,61.9,46297,0,0
2019-11-28 11:22:00+05:30,61.85,61.95,61.85,61.95,67143,0,0
2019-11-28 11:23:00+05:30,61.9,62.1,61.9,62.05,126108,0,0
2019-11-28 11:24:00+05:30,62.1,62.2,62.0,62.1,163179,0,0
2019-11-28 11:25:00+05:30,62.1,62.15,62.0,62.1,122853,0,0
2019-11-28 11:26:00+05:30,62.15,62.45,62.1,62.35,233877,0,0
2019-11-28 11:27:00+05:30,62.4,62.4,62.25,62.35,70362,0,0
2019-11-28 11:28:00+05:30,62.35,62.5,62.35,62.4,258198,0,0
2019-11-28 11:29:00+05:30,62.45,62.5,62.45,62.45,70178,0,0
2019-11-28 11:30:00+05:30,62.5,62.5,62.4,62.5,73909,0,0
2019-11-28 11:31:00+05:30,62.45,62.5,62.4,62.45,66869,0,0
2019-11-28 11:32:00+05:30,62.45,62.5,62.3,62.4,168096,0,0
2019-11-28 11:33:00+05:30,62.45,62.55,62.3,62.55,258658,0,0
2019-11-28 11:34:00+05:30,62.55,62.65,62.55,62.55,80914,0,0
2019-11-28 11:35:00+05:30,62.5,62.6,62.45,62.5,78746,0,0
2019-11-28 11:36:00+05:30,62.5,62.75,62.45,62.7,182897,0,0
2019-11-28 11:37:00+05:30,62.7,62.75,62.65,62.7,62862,0,0
2019-11-28 11:38:00+05:30,62.75,62.75,62.7,62.7,56475,0,0
2019-11-28 11:39:00+05:30,62.7,62.8,62.65,62.8,110604,0,0
2019-11-28 11:40:00+05:30,62.8,62.95,62.8,62.9,157743,0,0
2019-11-28 11:41:00+05:30,62.9,62.95,62.8,62.9,147683,0,0
2019-11-28 11:42:00+05:30,62.85,62.9,62.75,62.85,84757,0,0
2019-11-28 11:43:00+05:30,62.8,62.85,62.75,62.75,75066,0,0
2019-11-28 11:44:00+05:30,62.8,62.9,62.75,62.85,56224,0,0
2019-11-28 11:45:00+05:30,62.85,63.0,62.8,62.95,158378,0,0
2019-11-28 11:46:00+05:30,63.0,63.0,62.8,62.8,93864,0,0
2019-11-28 11:47:00+05:30,62.85,62.9,62.75,62.8,45772,0,0
2019-11-28 11:48:00+05:30,62.8,62.9,62.75,62.75,75268,0,0
2019-11-28 11:49:00+05:30,62.75,62.9,62.7,62.8,54089,0,0
2019-11-28 11:50:00+05:30,62.75,62.85,62.65,62.65,83960,0,0
2019-11-28 11:51:00+05:30,62.65,62.7,62.6,62.65,165907,0,0
2019-11-28 11:52:00+05:30,62.6,62.7,62.6,62.6,58935,0,0
2019-11-28 11:53:00+05:30,62.65,62.7,62.55,62.6,54397,0,0
2019-11-28 11:54:00+05:30,62.6,62.75,62.6,62.7,58510,0,0
2019-11-28 11:55:00+05:30,62.75,62.75,62.6,62.65,54145,0,0
2019-11-28 11:56:00+05:30,62.65,62.8,62.6,62.75,23520,0,0
2019-11-28 11:57:00+05:30,62.7,62.8,62.65,62.8,84330,0,0
2019-11-28 11:58:00+05:30,62.8,62.8,62.65,62.65,44021,0,0
2019-11-28 11:59:00+05:30,62.65,62.75,62.6,62.75,30800,0,0
2019-11-28 12:00:00+05:30,62.7,62.8,62.65,62.8,104765,0,0
2019-11-28 12:01:00+05:30,62.75,62.9,62.7,62.9,53456,0,0
2019-11-28 12:02:00+05:30,62.8,62.85,62.8,62.8,29538,0,0
2019-11-28 12:03:00+05:30,62.8,62.9,62.8,62.85,36369,0,0
2019-11-28 12:04:00+05:30,62.85,62.85,62.6,62.65,126623,0,0
2019-11-28 12:05:00+05:30,62.65,62.7,62.6,62.65,27687,0,0
2019-11-28 12:06:00+05:30,62.7,62.8,62.65,62.75,29221,0,0
2019-11-28 12:07:00+05:30,62.75,62.8,62.7,62.8,12501,0,0
2019-11-28 12:08:00+05:30,62.7,62.8,62.7,62.8,35503,0,0
2019-11-28 12:09:00+05:30,62.8,62.85,62.7,62.85,33165,0,0
2019-11-28 12:10:00+05:30,62.8,62.85,62.75,62.75,54049,0,0
2019-11-28 12:11:00+05:30,62.75,62.8,62.7,62.8,28773,0,0
2019-11-28 12:12:00+05:30,62.75,62.85,62.75,62.75,94623,0,0
2019-11-28 12:13:00+05:30,62.8,62.85,62.75,62.75,27323,0,0
2019-11-28 12:14:00+05:30,62.8,62.85,62.75,62.75,15678,0,0
2019-11-28 12:15:00+05:30,62.8,62.8,62.75,62.75,18671,0,0
2019-11-28 12:16:00+05:30,62.8,62.85,62.75,62.8,23990,0,0
2019-11-28 12:17:00+05:30,62.8,62.85,62.75,62.75,42363,0,0
2019-11-28 12:18:00+05:30,62.75,62.85,62.75,62.75,24955,0,0
2019-11-28 12:19:00+05:30,62.75,62.8,62.75,62.8,8388,0,0
2019-11-28 12:20:00+05:30,62.75,62.85,62.75,62.85,14828,0,0
2019-11-28 12:21:00+05:30,62.75,62.85,62.75,62.8,16069,0,0
2019-11-28 12:22:00+05:30,62.8,62.9,62.8,62.9,56898,0,0
2019-11-28 12:23:00+05:30,62.85,62.95,62.85,62.9,28910,0,0
2019-11-28 12:24:00+05:30,62.9,62.95,62.8,62.85,14651,0,0
2019-11-28 12:25:00+05:30,62.8,62.95,62.8,62.9,24287,0,0
2019-11-28 12:26:00+05:30,62.9,62.95,62.85,62.85,15653,0,0
2019-11-28 12:27:00+05:30,62.85,62.9,62.8,62.8,59626,0,0
