Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-28 09:15:00+05:30,554.8,556.5,554.05,556.5,0,0,0
2019-11-28 09:16:00+05:30,556.9,559.45,556.5,559.15,71849,0,0
2019-11-28 09:17:00+05:30,559.45,560.4,557.55,560.2,73275,0,0
2019-11-28 09:18:00+05:30,560.05,560.65,557.45,558.0,54753,0,0
2019-11-28 09:19:00+05:30,557.65,559.45,557.65,558.75,36819,0,0
2019-11-28 09:20:00+05:30,558.8,560.0,558.8,559.9,59093,0,0
2019-11-28 09:21:00+05:30,559.75,560.5,558.1,560.5,34418,0,0
2019-11-28 09:22:00+05:30,560.4,562.0,560.1,561.7,121631,0,0
2019-11-28 09:23:00+05:30,561.7,561.95,560.2,560.95,87934,0,0
2019-11-28 09:24:00+05:30,561.3,561.45,559.65,560.0,71149,0,0
2019-11-28 09:25:00+05:30,560.0,560.4,559.6,559.95,27495,0,0
2019-11-28 09:26:00+05:30,559.8,560.2,558.5,559.5,61702,0,0
2019-11-28 09:27:00+05:30,559.35,559.6,558.25,559.25,52963,0,0
2019-11-28 09:28:00+05:30,559.25,560.9,559.0,560.9,26462,0,0
2019-11-28 09:29:00+05:30,561.0,561.0,560.2,560.55,37858,0,0
2019-11-28 09:30:00+05:30,560.55,561.35,559.8,561.2,34067,0,0
2019-11-28 09:31:00+05:30,561.0,561.6,560.85,561.0,44187,0,0
2019-11-28 09:32:00+05:30,561.0,563.4,560.5,563.05,87547,0,0
2019-11-28 09:33:00+05:30,563.4,563.85,562.8,563.25,49747,0,0
2019-11-28 09:34:00+05:30,563.35,563.6,563.05,563.6,55711,0,0
2019-11-28 09:35:00+05:30,563.6,565.15,563.5,565.0,122543,0,0
2019-11-28 09:36:00+05:30,565.0,565.25,564.65,565.05,76477,0,0
2019-11-28 09:37:00+05:30,565.25,565.5,565.0,565.1,36768,0,0
2019-11-28 09:38:00+05:30,565.2,565.35,564.5,565.0,38779,0,0
2019-11-28 09:39:00+05:30,564.9,566.65,564.8,566.15,66296,0,0
2019-11-28 09:40:00+05:30,566.15,570.9,566.15,570.3,261795,0,0
2019-11-28 09:41:00+05:30,570.3,570.3,569.05,569.85,171638,0,0
2019-11-28 09:42:00+05:30,569.5,569.8,567.4,569.25,74443,0,0
2019-11-28 09:43:00+05:30,569.25,569.4,568.6,568.7,27608,0,0
2019-11-28 09:44:00+05:30,568.7,570.3,568.5,569.8,96231,0,0
2019-11-28 09:45:00+05:30,569.55,570.95,569.55,570.95,99359,0,0
2019-11-28 09:46:00+05:30,570.9,571.65,570.4,570.5,85998,0,0
2019-11-28 09:47:00+05:30,570.5,571.0,570.0,570.75,27553,0,0
2019-11-28 09:48:00+05:30,570.65,570.95,570.05,570.05,32517,0,0
2019-11-28 09:49:00+05:30,570.2,570.2,569.1,569.6,37369,0,0
2019-11-28 09:50:00+05:30,569.3,570.2,568.25,570.15,84074,0,0
2019-11-28 09:51:00+05:30,570.0,570.6,570.0,570.35,51047,0,0
2019-11-28 09:52:00+05:30,569.6,570.45,569.1,570.45,52361,0,0
2019-11-28 09:53:00+05:30,570.25,570.5,569.9,570.0,22768,0,0
2019-11-28 09:54:00+05:30,570.0,570.15,569.4,569.85,17688,0,0
2019-11-28 09:55:00+05:30,569.95,570.6,569.95,570.35,30802,0,0
2019-11-28 09:56:00+05:30,570.35,570.4,570.0,570.0,28195,0,0
2019-11-28 09:57:00+05:30,570.0,570.85,570.0,570.65,26931,0,0
2019-11-28 09:58:00+05:30,571.25,573.0,571.25,572.55,132527,0,0
2019-11-28 09:59:00+05:30,572.6,573.0,572.0,572.1,48586,0,0
2019-11-28 10:00:00+05:30,572.25,572.75,572.0,572.75,22297,0,0
2019-11-28 10:01:00+05:30,572.5,573.9,572.4,573.9,46635,0,0
2019-11-28 10:02:00+05:30,573.55,573.9,572.1,572.4,63178,0,0
2019-11-28 10:03:00+05:30,572.3,573.5,572.3,573.1,27742,0,0
2019-11-28 10:04:00+05:30,573.4,573.5,573.0,573.2,17452,0,0
2019-11-28 10:05:00+05:30,573.1,573.4,572.5,572.55,22485,0,0
2019-11-28 10:06:00+05:30,572.85,573.0,572.5,572.5,13995,0,0
2019-11-28 10:07:00+05:30,572.8,572.8,572.2,572.35,25911,0,0
2019-11-28 10:08:00+05:30,572.4,572.75,571.5,572.25,60228,0,0
2019-11-28 10:09:00+05:30,572.2,573.0,572.15,572.55,47083,0,0
2019-11-28 10:10:00+05:30,572.55,573.2,572.5,572.85,26174,0,0
2019-11-28 10:11:00+05:30,572.85,573.0,572.6,572.7,18518,0,0
2019-11-28 10:12:00+05:30,572.7,573.0,572.7,572.75,9942,0,0
2019-11-28 10:13:00+05:30,572.75,573.0,572.75,572.8,7201,0,0
2019-11-28 10:14:00+05:30,572.8,573.1,572.8,573.1,13591,0,0
2019-11-28 10:15:00+05:30,573.1,573.4,572.8,573.0,20405,0,0
2019-11-28 10:16:00+05:30,572.95,573.25,572.8,573.1,12659,0,0
2019-11-28 10:17:00+05:30,573.1,573.15,572.6,572.6,19924,0,0
2019-11-28 10:18:00+05:30,572.6,572.65,571.7,571.8,36445,0,0
2019-11-28 10:19:00+05:30,571.8,572.1,571.8,572.0,23714,0,0
2019-11-28 10:20:00+05:30,572.0,572.15,571.75,571.95,26777,0,0
2019-11-28 10:21:00+05:30,572.0,572.0,571.5,571.5,13574,0,0
